source,target,relationship
product_B07SG731NV,cat_cell_phones,BELONGS_TO
product_B07SDQ483V,cat_cell_phones,BELONGS_TO
product_B098BK2SJ5,cat_cell_phones,BELONGS_TO
product_B01GINVN1W,cat_cell_phones,BELONGS_TO
product_B0B97Z7H3P,cat_cell_phones,BELONGS_TO
product_B08CZJFV8F,cat_cell_phones,BELONGS_TO
product_B0B84WW1Y2,cat_cell_phones,BELONGS_TO
product_B013IQCUAK,cat_cell_phones,BELONGS_TO
product_B0BL9TKSBL,cat_cell_phones,BELONGS_TO
product_B0BY5V82W4,cat_cell_phones,BELONGS_TO
product_B07YHMHWQD,cat_cell_phones,BELONGS_TO
product_B09FJBVV8B,cat_cell_phones,BELONGS_TO
product_B08BXBT8MD,cat_cell_phones,BELONGS_TO
product_B0BXKWGCSW,cat_cell_phones,BELONGS_TO
product_B00PHN4A8I,cat_cell_phones,BELONGS_TO
product_B08BZB1N6F,cat_cell_phones,BELONGS_TO
product_B085G711ML,cat_cell_phones,BELONGS_TO
product_B0B4VCQ7MB,cat_cell_phones,BELONGS_TO
product_B07J6N3BRG,cat_cell_phones,BELONGS_TO
product_B06WGL82S6,cat_cell_phones,BELONGS_TO
product_B00VQQ294C,cat_cell_phones,BELONGS_TO
product_B07GQ915R8,cat_cell_phones,BELONGS_TO
product_B09M7514S7,cat_cell_phones,BELONGS_TO
product_B0013E07NC,cat_cell_phones,BELONGS_TO
product_B000F7P7BK,cat_cell_phones,BELONGS_TO
product_B083JJGXQK,cat_cell_phones,BELONGS_TO
product_B08JPH37DY,cat_cell_phones,BELONGS_TO
product_B08NCFGTJ7,cat_cell_phones,BELONGS_TO
product_B085BCFCK2,cat_cell_phones,BELONGS_TO
product_B01N0QJ8N1,cat_cell_phones,BELONGS_TO
product_B084GZ1V9V,cat_cell_phones,BELONGS_TO
product_B07L6QY1TJ,cat_cell_phones,BELONGS_TO
product_B09JFJ1Q5C,cat_cell_phones,BELONGS_TO
product_B009IQ0GGA,cat_cell_phones,BELONGS_TO
product_B07K83KHWG,cat_cell_phones,BELONGS_TO
product_B096FP8WG3,cat_cell_phones,BELONGS_TO
product_B000LNPS2G,cat_cell_phones,BELONGS_TO
product_B09X9FC88M,cat_cell_phones,BELONGS_TO
product_B078HG8L5N,cat_cell_phones,BELONGS_TO
product_B09DFK29P7,cat_cell_phones,BELONGS_TO
product_B077GCRPNH,cat_cell_phones,BELONGS_TO
product_B07BSJGRL8,cat_cell_phones,BELONGS_TO
product_B08DXKVYQK,cat_cell_phones,BELONGS_TO
product_B0B74J524C,cat_cell_phones,BELONGS_TO
product_B0BGPFNML1,cat_cell_phones,BELONGS_TO
product_B0748NBWDP,cat_cell_phones,BELONGS_TO
product_B008RBPY14,cat_cell_phones,BELONGS_TO
product_B08JS1P82B,cat_cell_phones,BELONGS_TO
product_B07ZJ12GVN,cat_cell_phones,BELONGS_TO
product_B0BGYC7HYQ,cat_cell_phones,BELONGS_TO
product_B092SPMKG6,cat_cell_phones,BELONGS_TO
product_B08PNTRC2Y,cat_cell_phones,BELONGS_TO
product_B09J6KMZ85,cat_cell_phones,BELONGS_TO
product_B00D64PURK,cat_cell_phones,BELONGS_TO
product_B08LP66PZ9,cat_cell_phones,BELONGS_TO
product_B0002BRJAG,cat_cell_phones,BELONGS_TO
product_B07Q5FRCJM,cat_cell_phones,BELONGS_TO
product_B008DSBTAG,cat_cell_phones,BELONGS_TO
product_B09VB2342C,cat_cell_phones,BELONGS_TO
product_B00Q1FFZ9Y,cat_cell_phones,BELONGS_TO
product_B00359WF24,cat_cell_phones,BELONGS_TO
product_B01NAZYV40,cat_cell_phones,BELONGS_TO
product_B01NBRAB4J,cat_cell_phones,BELONGS_TO
product_B0BMWTL2S6,cat_cell_phones,BELONGS_TO
product_B01N5PACC8,cat_cell_phones,BELONGS_TO
product_B094XGTNGN,cat_cell_phones,BELONGS_TO
product_B084WZQVWX,cat_cell_phones,BELONGS_TO
product_B07YLKB6CR,cat_cell_phones,BELONGS_TO
product_B086MDQBVP,cat_cell_phones,BELONGS_TO
product_B07MVNFHN2,cat_cell_phones,BELONGS_TO
product_B00K874HD6,cat_cell_phones,BELONGS_TO
product_B074Q34TKB,cat_cell_phones,BELONGS_TO
product_B089WJB3SD,cat_cell_phones,BELONGS_TO
product_B09DZZ2GM6,cat_cell_phones,BELONGS_TO
product_B07Y5KVZX1,cat_cell_phones,BELONGS_TO
product_B07P6LC9KF,cat_cell_phones,BELONGS_TO
product_B097BYW2NK,cat_cell_phones,BELONGS_TO
product_B001GIPO9M,cat_cell_phones,BELONGS_TO
product_B07X1WL39V,cat_cell_phones,BELONGS_TO
product_B0725S47VQ,cat_cell_phones,BELONGS_TO
product_B097G35FTC,cat_cell_phones,BELONGS_TO
