source,target,relationship
product_B07SDQ483V,accessory_charger,INCLUDES_ACCESSORY
product_B07SDQ483V,accessory_usb_cable,INCLUDES_ACCESSORY
product_B098BK2SJ5,accessory_adapter,INCLUDES_ACCESSORY
product_B0B97Z7H3P,accessory_adapter,INCLUDES_ACCESSORY
product_B08CZJFV8F,accessory_earphone,INCLUDES_ACCESSORY
product_B08CZJFV8F,accessory_adapter,INCLUDES_ACCESSORY
product_B08CZJFV8F,accessory_usb_cable,INCLUDES_ACCESSORY
product_B0B84WW1Y2,accessory_sim_tray_ejector_x1,INCLUDES_ACCESSORY
product_B0B84WW1Y2,accessory_screen_protector_x1,INCLUDES_ACCESSORY
product_B0B84WW1Y2,accessory_usb_cable_x_1,INCLUDES_ACCESSORY
product_B0B84WW1Y2,accessory_phone_case_x_1,INCLUDES_ACCESSORY
product_B0BY5V82W4,accessory_adapter,INCLUDES_ACCESSORY
product_B07YHMHWQD,accessory_adapter,INCLUDES_ACCESSORY
product_B09FJBVV8B,accessory_charger_adapter,INCLUDES_ACCESSORY
product_B08BXBT8MD,accessory_1,INCLUDES_ACCESSORY
product_B085G711ML,accessory_adapter,INCLUDES_ACCESSORY
product_B085G711ML,accessory_usb_cable,INCLUDES_ACCESSORY
product_B07J6N3BRG,accessory_adapter,INCLUDES_ACCESSORY
product_B06WGL82S6,accessory_video_recorder,INCLUDES_ACCESSORY
product_B06WGL82S6,accessory_camera,INCLUDES_ACCESSORY
product_B00VQQ294C,accessory_usb_cable,INCLUDES_ACCESSORY
product_B07GQ915R8,accessory_adapter,INCLUDES_ACCESSORY
product_B09M7514S7,accessory_usb_cable,INCLUDES_ACCESSORY
product_B0013E07NC,accessory_user_manual,INCLUDES_ACCESSORY
product_B0013E07NC,accessory_charger,INCLUDES_ACCESSORY
product_B083JJGXQK,accessory_sim_tray_ejector,INCLUDES_ACCESSORY
product_B083JJGXQK,accessory_data_cable,INCLUDES_ACCESSORY
product_B08JPH37DY,accessory_usb,INCLUDES_ACCESSORY
product_B08NCFGTJ7,accessory_adapter,INCLUDES_ACCESSORY
product_B085BCFCK2,accessory_sim_tray_ejector,INCLUDES_ACCESSORY
product_B085BCFCK2,accessory_adapter,INCLUDES_ACCESSORY
product_B085BCFCK2,accessory_usb_cable,INCLUDES_ACCESSORY
product_B07L6QY1TJ,accessory_charger,INCLUDES_ACCESSORY
product_B09JFJ1Q5C,accessory_sim_tray_ejector,INCLUDES_ACCESSORY
product_B09JFJ1Q5C,accessory_usb_cable,INCLUDES_ACCESSORY
product_B07K83KHWG,accessory_1,INCLUDES_ACCESSORY
product_B07K83KHWG,accessory_handsfree,INCLUDES_ACCESSORY
product_B07K83KHWG,accessory_manual,INCLUDES_ACCESSORY
product_B07K83KHWG,accessory_adapter,INCLUDES_ACCESSORY
product_B096FP8WG3,accessory_user_manual,INCLUDES_ACCESSORY
product_B096FP8WG3,accessory_sim_tray,INCLUDES_ACCESSORY
product_B096FP8WG3,accessory_type_c_cable,INCLUDES_ACCESSORY
product_B09X9FC88M,accessory_usb_cable,INCLUDES_ACCESSORY
product_B09DFK29P7,accessory_inc,INCLUDES_ACCESSORY
product_B08DXKVYQK,accessory_adapter,INCLUDES_ACCESSORY
product_B0B74J524C,accessory_unknown,INCLUDES_ACCESSORY
product_B0B74J524C,accessory_usb,INCLUDES_ACCESSORY
product_B0BGPFNML1,accessory_adapter,INCLUDES_ACCESSORY
product_B0748NBWDP,accessory_charger,INCLUDES_ACCESSORY
product_B0748NBWDP,accessory_headset,INCLUDES_ACCESSORY
product_B0748NBWDP,accessory_screen_protector,INCLUDES_ACCESSORY
product_B0748NBWDP,accessory_quick_guide,INCLUDES_ACCESSORY
product_B0748NBWDP,accessory_protective_case,INCLUDES_ACCESSORY
product_B0748NBWDP,accessory_usb_cable,INCLUDES_ACCESSORY
product_B0748NBWDP,accessory_sim_key,INCLUDES_ACCESSORY
product_B08JS1P82B,accessory_sim_tray_ejector,INCLUDES_ACCESSORY
product_B08JS1P82B,accessory_quick_reference_manual,INCLUDES_ACCESSORY
product_B0BGYC7HYQ,accessory_iphone,INCLUDES_ACCESSORY
product_B0BGYC7HYQ,accessory_charger,INCLUDES_ACCESSORY
product_B0BGYC7HYQ,accessory_mfi_cable,INCLUDES_ACCESSORY
product_B0BGYC7HYQ,accessory_sim_pin_ejector,INCLUDES_ACCESSORY
product_B092SPMKG6,accessory_sim_tray_ejector,INCLUDES_ACCESSORY
product_B092SPMKG6,accessory_data_cable,INCLUDES_ACCESSORY
product_B08PNTRC2Y,accessory_adapter,INCLUDES_ACCESSORY
product_B08PNTRC2Y,accessory_usb_cable,INCLUDES_ACCESSORY
product_B09J6KMZ85,accessory_stylus,INCLUDES_ACCESSORY
product_B00D64PURK,accessory_usb_cable,INCLUDES_ACCESSORY
product_B08LP66PZ9,accessory_quick_reference_guide,INCLUDES_ACCESSORY
product_B08LP66PZ9,accessory_micro_usb_connector,INCLUDES_ACCESSORY
product_B08LP66PZ9,accessory_sim_tra,INCLUDES_ACCESSORY
product_B0002BRJAG,accessory_stylus,INCLUDES_ACCESSORY
product_B07Q5FRCJM,accessory_charger,INCLUDES_ACCESSORY
product_B008DSBTAG,accessory_5_mp_camera,INCLUDES_ACCESSORY
product_B008DSBTAG,accessory_video_recorder,INCLUDES_ACCESSORY
product_B008DSBTAG,accessory_android,INCLUDES_ACCESSORY
product_B09VB2342C,accessory_fast_car_charger,INCLUDES_ACCESSORY
product_B09VB2342C,accessory_sim_tray_ejector,INCLUDES_ACCESSORY
product_B09VB2342C,accessory_adapter,INCLUDES_ACCESSORY
product_B09VB2342C,accessory_usb_cable,INCLUDES_ACCESSORY
product_B01NAZYV40,accessory_screen_protector,INCLUDES_ACCESSORY
product_B01NAZYV40,accessory_headphones,INCLUDES_ACCESSORY
product_B01NAZYV40,accessory_quick_guide,INCLUDES_ACCESSORY
product_B01NAZYV40,accessory_charger,INCLUDES_ACCESSORY
product_B01NAZYV40,accessory_key,INCLUDES_ACCESSORY
product_B01NAZYV40,accessory_silicone_case,INCLUDES_ACCESSORY
product_B01NAZYV40,accessory_usb_cable,INCLUDES_ACCESSORY
product_B01N5PACC8,accessory_charger,INCLUDES_ACCESSORY
product_B01N5PACC8,accessory_handsfree,INCLUDES_ACCESSORY
product_B01N5PACC8,accessory_battery,INCLUDES_ACCESSORY
product_B094XGTNGN,accessory_user_manual,INCLUDES_ACCESSORY
product_B094XGTNGN,accessory_type_c_cable,INCLUDES_ACCESSORY
product_B094XGTNGN,accessory_charger,INCLUDES_ACCESSORY
product_B084WZQVWX,accessory_charger_and_quick_guide,INCLUDES_ACCESSORY
product_B07YLKB6CR,accessory_adapter,INCLUDES_ACCESSORY
product_B07MVNFHN2,accessory_sim_tray_ejector,INCLUDES_ACCESSORY
product_B07MVNFHN2,accessory_otg_dongle,INCLUDES_ACCESSORY
product_B00K874HD6,accessory_video_recorder,INCLUDES_ACCESSORY
product_B00K874HD6,accessory_camera,INCLUDES_ACCESSORY
product_B074Q34TKB,accessory_screen_protector,INCLUDES_ACCESSORY
product_B074Q34TKB,accessory_headphones,INCLUDES_ACCESSORY
product_B074Q34TKB,accessory_quick_guide,INCLUDES_ACCESSORY
product_B074Q34TKB,accessory_silicon_case,INCLUDES_ACCESSORY
product_B074Q34TKB,accessory_charger,INCLUDES_ACCESSORY
product_B074Q34TKB,accessory_usb_cable,INCLUDES_ACCESSORY
product_B089WJB3SD,accessory_adapter,INCLUDES_ACCESSORY
product_B07Y5KVZX1,accessory_qsg,INCLUDES_ACCESSORY
product_B07Y5KVZX1,accessory_sim_tray_ejector,INCLUDES_ACCESSORY
