source,target,relationship
product_B07SG731NV,brand_alcatel,MANUFACTURED_BY
product_B07SDQ483V,brand_blu,MANUFACTURED_BY
product_B098BK2SJ5,brand_samsung,MANUFACTURED_BY
product_B01GINVN1W,brand_motorola,MANUFACTURED_BY
product_B0B97Z7H3P,brand_samsung,MANUFACTURED_BY
product_B08CZJFV8F,brand_ulefone,MANUFACTURED_BY
product_B0B84WW1Y2,brand_umidigi,MANUFACTURED_BY
product_B013IQCUAK,brand_nuu,MANUFACTURED_BY
product_B0BL9TKSBL,brand_motorola,MANUFACTURED_BY
product_B0BY5V82W4,brand_apple,MANUFACTURED_BY
product_B07YHMHWQD,brand_umidigi,MANUFACTURED_BY
product_B09FJBVV8B,brand_oukitel,MANUFACTURED_BY
product_B08BXBT8MD,brand_google,MANUFACTURED_BY
product_B0BXKWGCSW,brand_samsung,MANUFACTURED_BY
product_B00PHN4A8I,brand_blu,MANUFACTURED_BY
product_B08BZB1N6F,brand_samsung,MANUFACTURED_BY
product_B085G711ML,brand_blackview,MANUFACTURED_BY
product_B0B4VCQ7MB,brand_samsung,MANUFACTURED_BY
product_B07J6N3BRG,brand_asus,MANUFACTURED_BY
product_B06WGL82S6,brand_zte,MANUFACTURED_BY
product_B00VQQ294C,brand_apple,MANUFACTURED_BY
product_B07GQ915R8,brand_blu,MANUFACTURED_BY
product_B09M7514S7,brand_acogedor,MANUFACTURED_BY
product_B0013E07NC,brand_motorola,MANUFACTURED_BY
product_B000F7P7BK,brand_tracfone,MANUFACTURED_BY
product_B083JJGXQK,brand_lg,MANUFACTURED_BY
product_B08JPH37DY,brand_sudroid,MANUFACTURED_BY
product_B08NCFGTJ7,brand_samsung,MANUFACTURED_BY
product_B085BCFCK2,brand_sonim,MANUFACTURED_BY
product_B01N0QJ8N1,brand_blu,MANUFACTURED_BY
product_B084GZ1V9V,brand_google,MANUFACTURED_BY
product_B07L6QY1TJ,brand_google,MANUFACTURED_BY
product_B09JFJ1Q5C,brand_apple,MANUFACTURED_BY
product_B009IQ0GGA,brand_lg,MANUFACTURED_BY
product_B07K83KHWG,brand_blu,MANUFACTURED_BY
product_B096FP8WG3,brand_xiaomi,MANUFACTURED_BY
product_B000LNPS2G,brand_motorola,MANUFACTURED_BY
product_B09X9FC88M,brand_samsung,MANUFACTURED_BY
product_B078HG8L5N,brand_lg,MANUFACTURED_BY
product_B09DFK29P7,brand_folosafenar,MANUFACTURED_BY
product_B077GCRPNH,brand_xuele,MANUFACTURED_BY
product_B07BSJGRL8,brand_acer,MANUFACTURED_BY
product_B08DXKVYQK,brand_samsung,MANUFACTURED_BY
product_B0B74J524C,brand_kxd,MANUFACTURED_BY
product_B0BGPFNML1,brand_ulefone,MANUFACTURED_BY
product_B0748NBWDP,brand_blu,MANUFACTURED_BY
product_B008RBPY14,brand_blu,MANUFACTURED_BY
product_B08JS1P82B,brand_samsung,MANUFACTURED_BY
product_B07ZJ12GVN,brand_1801tech,MANUFACTURED_BY
product_B0BGYC7HYQ,brand_apple,MANUFACTURED_BY
product_B092SPMKG6,brand_samsung,MANUFACTURED_BY
product_B08PNTRC2Y,brand_apple,MANUFACTURED_BY
product_B09J6KMZ85,brand_lg,MANUFACTURED_BY
product_B00D64PURK,brand_blu,MANUFACTURED_BY
product_B08LP66PZ9,brand_samsung,MANUFACTURED_BY
product_B0002BRJAG,brand_palm,MANUFACTURED_BY
product_B07Q5FRCJM,brand_htc,MANUFACTURED_BY
product_B008DSBTAG,brand_sony,MANUFACTURED_BY
product_B09VB2342C,brand_xiaomi,MANUFACTURED_BY
product_B00Q1FFZ9Y,brand_indigi,MANUFACTURED_BY
product_B00359WF24,brand_blu,MANUFACTURED_BY
product_B01NAZYV40,brand_blu,MANUFACTURED_BY
product_B01NBRAB4J,brand_zte,MANUFACTURED_BY
product_B0BMWTL2S6,brand_samsung,MANUFACTURED_BY
product_B01N5PACC8,brand_alcatel,MANUFACTURED_BY
product_B094XGTNGN,brand_motorola,MANUFACTURED_BY
product_B084WZQVWX,brand_blu,MANUFACTURED_BY
product_B07YLKB6CR,brand_huawei,MANUFACTURED_BY
product_B086MDQBVP,brand_tosuny,MANUFACTURED_BY
product_B07MVNFHN2,brand_google,MANUFACTURED_BY
product_B00K874HD6,brand_blu,MANUFACTURED_BY
product_B074Q34TKB,brand_blu,MANUFACTURED_BY
product_B089WJB3SD,brand_samsung,MANUFACTURED_BY
product_B09DZZ2GM6,brand_motorola,MANUFACTURED_BY
product_B07Y5KVZX1,brand_google,MANUFACTURED_BY
product_B07P6LC9KF,brand_blu,MANUFACTURED_BY
product_B097BYW2NK,brand_oneplus,MANUFACTURED_BY
product_B001GIPO9M,brand_microsoft,MANUFACTURED_BY
product_B07X1WL39V,brand_asus,MANUFACTURED_BY
product_B0725S47VQ,brand_tracfone,MANUFACTURED_BY
product_B097G35FTC,brand_tcl,MANUFACTURED_BY
product_B076K321NN,brand_motorola,MANUFACTURED_BY
product_B00LA7IH7U,brand_tracfone,MANUFACTURED_BY
product_B08JQKJF93,brand_lg,MANUFACTURED_BY
product_B001QFU4WC,brand_aspercreme,MANUFACTURED_BY
product_B097MZF398,brand_motorola,MANUFACTURED_BY
product_B08K1DNVSW,brand_kyocera,MANUFACTURED_BY
product_B07RY6GZSJ,brand_azfunn,MANUFACTURED_BY
product_B09993L85F,brand_umidigi,MANUFACTURED_BY
product_B08T1WZFN7,brand_samsung,MANUFACTURED_BY
product_B09NX6CSPP,brand_motorola,MANUFACTURED_BY
product_B0021L9FRU,brand_sony,MANUFACTURED_BY
product_B09KRY84FG,brand_cubot,MANUFACTURED_BY
product_B094WXLVG5,brand_samsung,MANUFACTURED_BY
product_B0BQHR1V6D,brand_cubot,MANUFACTURED_BY
product_B09PPWVQSB,brand_samsung,MANUFACTURED_BY
product_B071RFBN8M,brand_slideco,MANUFACTURED_BY
product_B07N4BF1Y7,brand_lg,MANUFACTURED_BY
product_B097S2NZFQ,brand_blu,MANUFACTURED_BY
product_B0BRZD28C9,brand_total_by_verizon,MANUFACTURED_BY
product_B08QZFHPHK,brand_cubot,MANUFACTURED_BY
product_B078NJ5W3N,brand_samsung,MANUFACTURED_BY
product_B01N533TXR,brand_cellallure,MANUFACTURED_BY
product_B00ACMCARM,brand_mgxin,MANUFACTURED_BY
product_B00FH4MFM0,brand_huawei,MANUFACTURED_BY
product_B005EHFBE4,brand_sony_ericsson,MANUFACTURED_BY
product_B09LPBQBPT,brand_apple,MANUFACTURED_BY
product_B08YN5PRNG,brand_blackview,MANUFACTURED_BY
product_B08GMBCM5V,brand_motorola,MANUFACTURED_BY
product_B0BQYFJ9VM,brand_doogee,MANUFACTURED_BY
product_B08HJZ35RR,brand_uleway,MANUFACTURED_BY
product_B0B783YH4L,brand_samsung,MANUFACTURED_BY
product_B07NQQRY61,brand_ctmiami_llc,MANUFACTURED_BY
product_B08J4JPN7J,brand_lg,MANUFACTURED_BY
product_B08FYLJK6B,brand_tianhoo,MANUFACTURED_BY
product_B07PK19RBL,brand_blackview,MANUFACTURED_BY
product_B07WPX7VCG,brand_oukitel,MANUFACTURED_BY
product_B08RDHK355,brand_umidigi,MANUFACTURED_BY
product_B005GTIRIM,brand_gigaset,MANUFACTURED_BY
product_B0BPP8QTTR,brand_ulefone,MANUFACTURED_BY
product_B00CLU3GHQ,brand_pantech,MANUFACTURED_BY
product_B0046REOM8,brand_net10,MANUFACTURED_BY
product_B0BT9W9WR7,brand_doogee,MANUFACTURED_BY
product_B09352C4XY,brand_samsung,MANUFACTURED_BY
product_B0899WW4VK,brand_cubot,MANUFACTURED_BY
product_B07MC98SJZ,brand_plum,MANUFACTURED_BY
product_B0BWTWDVM4,brand_samsung,MANUFACTURED_BY
product_B09PY7YHX7,brand_samsung,MANUFACTURED_BY
product_B00ENLX4GE,brand_blu,MANUFACTURED_BY
product_B003YDNMOG,brand_sidekick,MANUFACTURED_BY
product_B00TYN4R5I,brand_samsung,MANUFACTURED_BY
product_B08FF3XMXR,brand_samsung,MANUFACTURED_BY
product_B07M9JCLKQ,brand_oneplus,MANUFACTURED_BY
product_B08R5FFDGY,brand_htc,MANUFACTURED_BY
product_B00I3YQIUG,brand_blu,MANUFACTURED_BY
product_B07RYBGNDQ,brand_oneplus,MANUFACTURED_BY
product_B0BHMNC211,brand_doogee,MANUFACTURED_BY
product_B0B2ZHVWYW,brand_agm,MANUFACTURED_BY
product_B09VB698H9,brand_xiaomi,MANUFACTURED_BY
product_B07JQT1X3P,brand_blu,MANUFACTURED_BY
product_B07DN5Y2W2,brand_asus,MANUFACTURED_BY
product_B000VWVUEW,brand_sprint,MANUFACTURED_BY
product_B084MD6Y5H,brand_samsung,MANUFACTURED_BY
product_B08BFMH5GZ,brand_apple,MANUFACTURED_BY
product_B08LVQFPJP,brand_galaxy_buds,MANUFACTURED_BY
product_B084DCHX1N,brand_blu,MANUFACTURED_BY
product_B0BWMNYGJM,brand_umidigi,MANUFACTURED_BY
product_B0BFCL244S,brand_google,MANUFACTURED_BY
product_B07PFGF4LD,brand_oukitel,MANUFACTURED_BY
product_B00AA6WVBU,brand_blu,MANUFACTURED_BY
product_B07PY26MKK,brand_u_l_e_f_o_n_e,MANUFACTURED_BY
product_B0BDDKXM9M,brand_pomya,MANUFACTURED_BY
product_B003DVSANC,brand_firefly,MANUFACTURED_BY
product_B07VFVPH9W,brand_motorola,MANUFACTURED_BY
product_B08XRDVWQ2,brand_blu,MANUFACTURED_BY
product_B08PZ2QT6C,brand_samsung,MANUFACTURED_BY
product_B06ZYK24SV,brand_slideco,MANUFACTURED_BY
product_B001493UOY,brand_lg,MANUFACTURED_BY
product_B09LP9P1FM,brand_apple,MANUFACTURED_BY
product_B00FQHLMBI,brand_ecandy,MANUFACTURED_BY
product_B0BC3GSJJG,brand_oukitel,MANUFACTURED_BY
product_B09V2RSWBW,brand_oneplus,MANUFACTURED_BY
product_B09RVDVM47,brand_umidigi,MANUFACTURED_BY
product_B07Z48VH98,brand_motorola,MANUFACTURED_BY
product_B0972VXQCX,brand_pantech,MANUFACTURED_BY
product_B01C2FW2GU,brand_iridium,MANUFACTURED_BY
product_B0833FBYKQ,brand_blu,MANUFACTURED_BY
product_B017ENK2DU,brand_idroid,MANUFACTURED_BY
product_B089P37K6X,brand_generic,MANUFACTURED_BY
product_B0B6153ZY2,brand_xgody,MANUFACTURED_BY
product_B09B1NP1CH,brand_easyfone,MANUFACTURED_BY
product_B096YZQHQ2,brand_blu,MANUFACTURED_BY
product_B000K892KQ,brand_motorola,MANUFACTURED_BY
product_B08KSJLN31,brand_samsung,MANUFACTURED_BY
product_B0B529LWQ3,brand_samsung,MANUFACTURED_BY
product_B08TDT5ZJD,brand_apple,MANUFACTURED_BY
product_B09WYN3TK7,brand_blackview,MANUFACTURED_BY
product_B08HJHP6Y6,brand_xiaomi,MANUFACTURED_BY
product_B0BHCZ2WFK,brand_lansxxy,MANUFACTURED_BY
product_B07215XFYG,brand_lg,MANUFACTURED_BY
product_B08C5K14K3,brand_xiaomi,MANUFACTURED_BY
product_B08HK13HGH,brand_samsung,MANUFACTURED_BY
product_B07RZ42MSZ,brand_google,MANUFACTURED_BY
product_B0007Q3TNC,brand_audiovox,MANUFACTURED_BY
product_B077Y2HK5Y,brand_tracfone,MANUFACTURED_BY
product_B007WN48LA,brand_sanyo,MANUFACTURED_BY
product_B07MBJJHK6,brand_lg,MANUFACTURED_BY
product_B08YP8R1TN,brand_lg,MANUFACTURED_BY
product_B08KFFTRZH,brand_ilight,MANUFACTURED_BY
product_B001L17Q22,brand_sony_ericsson_mobile,MANUFACTURED_BY
product_B008KCSL9W,brand_blu,MANUFACTURED_BY
product_B077F17R8H,brand_alcatel,MANUFACTURED_BY
product_B08KY7QSZL,brand_tracfone,MANUFACTURED_BY
product_B073WWKM76,brand_lg,MANUFACTURED_BY
product_B0033WSDVK,brand_motorola,MANUFACTURED_BY
