source,target,relationship
product_B07SG731NV,store_alcatel,SOLD_BY
product_B07SDQ483V,store_blu,SOLD_BY
product_B098BK2SJ5,store_samsung,SOLD_BY
product_B01GINVN1W,store_motorola,SOLD_BY
product_B0B97Z7H3P,store_amazon_renewed,SOLD_BY
product_B08CZJFV8F,store_ulefone,SOLD_BY
product_B0B84WW1Y2,store_umidigi,SOLD_BY
product_B013IQCUAK,store_nuu,SOLD_BY
product_B0BL9TKSBL,store_motorola,SOLD_BY
product_B0BY5V82W4,store_amazon_renewed,SOLD_BY
product_B07YHMHWQD,store_umidigi,SOLD_BY
product_B09FJBVV8B,store_oukitel,SOLD_BY
product_B08BXBT8MD,store_google,SOLD_BY
product_B0BXKWGCSW,store_samsung,SOLD_BY
product_B00PHN4A8I,store_blu,SOLD_BY
product_B08BZB1N6F,store_amazon_renewed,SOLD_BY
product_B085G711ML,store_blackview,SOLD_BY
product_B0B4VCQ7MB,store_amazon_renewed,SOLD_BY
product_B07J6N3BRG,store_asus,SOLD_BY
product_B06WGL82S6,store_zte,SOLD_BY
product_B00VQQ294C,store_amazon_renewed,SOLD_BY
product_B07GQ915R8,store_blu,SOLD_BY
product_B09M7514S7,store_acogedor,SOLD_BY
product_B0013E07NC,store_motorola,SOLD_BY
product_B000F7P7BK,store_tracfone,SOLD_BY
product_B083JJGXQK,store_amazon_renewed,SOLD_BY
product_B08JPH37DY,store_sudroid,SOLD_BY
product_B08NCFGTJ7,store_amazon_renewed,SOLD_BY
product_B085BCFCK2,store_amazon_renewed,SOLD_BY
product_B01N0QJ8N1,store_blu,SOLD_BY
product_B084GZ1V9V,store_google,SOLD_BY
product_B07L6QY1TJ,store_amazon_renewed,SOLD_BY
product_B09JFJ1Q5C,store_amazon_renewed,SOLD_BY
product_B009IQ0GGA,store_lg,SOLD_BY
product_B07K83KHWG,store_blu,SOLD_BY
product_B096FP8WG3,store_xiaomi,SOLD_BY
product_B000LNPS2G,store_motorola,SOLD_BY
product_B09X9FC88M,store_amazon_renewed,SOLD_BY
product_B078HG8L5N,store_amazon_renewed,SOLD_BY
product_B09DFK29P7,store_folosafenar,SOLD_BY
product_B077GCRPNH,store_amazon_renewed,SOLD_BY
product_B07BSJGRL8,store_amazon_renewed,SOLD_BY
product_B08DXKVYQK,store_samsung,SOLD_BY
product_B0B74J524C,store_kxd,SOLD_BY
product_B0BGPFNML1,store_ulefone,SOLD_BY
product_B0748NBWDP,store_blu,SOLD_BY
product_B008RBPY14,store_blu,SOLD_BY
product_B08JS1P82B,store_samsung,SOLD_BY
product_B07ZJ12GVN,store_mirusi,SOLD_BY
product_B0BGYC7HYQ,store_amazon_renewed,SOLD_BY
product_B092SPMKG6,store_amazon_renewed,SOLD_BY
product_B08PNTRC2Y,store_amazon_renewed,SOLD_BY
product_B09J6KMZ85,store_lg,SOLD_BY
product_B00D64PURK,store_blu,SOLD_BY
product_B08LP66PZ9,store_samsung,SOLD_BY
product_B0002BRJAG,store_palm,SOLD_BY
product_B07Q5FRCJM,store_amazon_renewed,SOLD_BY
product_B008DSBTAG,store_sony,SOLD_BY
