source,target,relationship
product_B07SDQ483V,carrier_cricket,SUPPORTS_CARRIER
product_B07SDQ483V,carrier_tmobile,SUPPORTS_CARRIER
product_B0B97Z7H3P,carrier_verizon,SUPPORTS_CARRIER
product_B013IQCUAK,carrier_virgin_mobile,SUPPORTS_CARRIER
product_B08BZB1N6F,carrier_verizon,SUPPORTS_CARRIER
product_B085G711ML,carrier_tmobile,SUPPORTS_CARRIER
product_B07J6N3BRG,carrier_att,SUPPORTS_CARRIER
product_B07J6N3BRG,carrier_tmobile,SUPPORTS_CARRIER
product_B06WGL82S6,carrier_tmobile,SUPPORTS_CARRIER
product_B09M7514S7,carrier_sprint,SUPPORTS_CARRIER
product_B09M7514S7,carrier_tracfone,SUPPORTS_CARRIER
product_B09M7514S7,carrier_tmobile,SUPPORTS_CARRIER
product_B09M7514S7,carrier_verizon,SUPPORTS_CARRIER
product_B084GZ1V9V,carrier_verizon,SUPPORTS_CARRIER
product_B07K83KHWG,carrier_sprint,SUPPORTS_CARRIER
product_B07K83KHWG,carrier_verizon,SUPPORTS_CARRIER
product_B077GCRPNH,carrier_tmobile,SUPPORTS_CARRIER
product_B0748NBWDP,carrier_att,SUPPORTS_CARRIER
product_B07ZJ12GVN,carrier_tmobile,SUPPORTS_CARRIER
product_B0002BRJAG,carrier_tmobile,SUPPORTS_CARRIER
product_B07Q5FRCJM,carrier_att,SUPPORTS_CARRIER
product_B01NAZYV40,carrier_tmobile,SUPPORTS_CARRIER
product_B094XGTNGN,carrier_tmobile,SUPPORTS_CARRIER
product_B084WZQVWX,carrier_cricket,SUPPORTS_CARRIER
product_B084WZQVWX,carrier_tmobile,SUPPORTS_CARRIER
product_B07YLKB6CR,carrier_tmobile,SUPPORTS_CARRIER
product_B074Q34TKB,carrier_att,SUPPORTS_CARRIER
product_B07Y5KVZX1,carrier_verizon,SUPPORTS_CARRIER
product_B07P6LC9KF,carrier_verizon,SUPPORTS_CARRIER
product_B0725S47VQ,carrier_tracfone,SUPPORTS_CARRIER
product_B076K321NN,carrier_sprint,SUPPORTS_CARRIER
product_B076K321NN,carrier_cricket,SUPPORTS_CARRIER
product_B00LA7IH7U,carrier_tracfone,SUPPORTS_CARRIER
product_B07RY6GZSJ,carrier_ting,SUPPORTS_CARRIER
product_B07RY6GZSJ,carrier_verizon,SUPPORTS_CARRIER
product_B07RY6GZSJ,carrier_sprint,SUPPORTS_CARRIER
product_B07RY6GZSJ,carrier_simple_mobile,SUPPORTS_CARRIER
product_B07RY6GZSJ,carrier_tmobile,SUPPORTS_CARRIER
product_B0021L9FRU,carrier_tmobile,SUPPORTS_CARRIER
product_B094WXLVG5,carrier_verizon,SUPPORTS_CARRIER
product_B071RFBN8M,carrier_tmobile,SUPPORTS_CARRIER
product_B071RFBN8M,carrier_straight_talk,SUPPORTS_CARRIER
product_B07N4BF1Y7,carrier_boost_mobile,SUPPORTS_CARRIER
product_B097S2NZFQ,carrier_tmobile,SUPPORTS_CARRIER
product_B0BRZD28C9,carrier_verizon,SUPPORTS_CARRIER
product_B08QZFHPHK,carrier_tmobile,SUPPORTS_CARRIER
product_B078NJ5W3N,carrier_tmobile,SUPPORTS_CARRIER
product_B08YN5PRNG,carrier_tmobile,SUPPORTS_CARRIER
product_B08HJZ35RR,carrier_tmobile,SUPPORTS_CARRIER
product_B0B783YH4L,carrier_tmobile,SUPPORTS_CARRIER
product_B08J4JPN7J,carrier_simple_mobile,SUPPORTS_CARRIER
product_B0BPP8QTTR,carrier_tmobile,SUPPORTS_CARRIER
product_B0046REOM8,carrier_net10,SUPPORTS_CARRIER
product_B0899WW4VK,carrier_tmobile,SUPPORTS_CARRIER
product_B0BWTWDVM4,carrier_tmobile,SUPPORTS_CARRIER
product_B09PY7YHX7,carrier_tmobile,SUPPORTS_CARRIER
product_B003YDNMOG,carrier_tmobile,SUPPORTS_CARRIER
product_B0B2ZHVWYW,carrier_tmobile,SUPPORTS_CARRIER
product_B07JQT1X3P,carrier_tmobile,SUPPORTS_CARRIER
product_B07DN5Y2W2,carrier_att,SUPPORTS_CARRIER
product_B084DCHX1N,carrier_cricket,SUPPORTS_CARRIER
product_B084DCHX1N,carrier_tmobile,SUPPORTS_CARRIER
product_B07PFGF4LD,carrier_verizon,SUPPORTS_CARRIER
product_B07PY26MKK,carrier_att,SUPPORTS_CARRIER
product_B07PY26MKK,carrier_tmobile,SUPPORTS_CARRIER
product_B07VFVPH9W,carrier_verizon,SUPPORTS_CARRIER
product_B06ZYK24SV,carrier_tmobile,SUPPORTS_CARRIER
product_B09LP9P1FM,carrier_tmobile,SUPPORTS_CARRIER
product_B07Z48VH98,carrier_att,SUPPORTS_CARRIER
product_B0972VXQCX,carrier_verizon,SUPPORTS_CARRIER
product_B089P37K6X,carrier_att,SUPPORTS_CARRIER
product_B096YZQHQ2,carrier_straight_talk,SUPPORTS_CARRIER
product_B08TDT5ZJD,carrier_cricket,SUPPORTS_CARRIER
product_B09WYN3TK7,carrier_tmobile,SUPPORTS_CARRIER
product_B07215XFYG,carrier_verizon,SUPPORTS_CARRIER
product_B077Y2HK5Y,carrier_tracfone,SUPPORTS_CARRIER
product_B07MBJJHK6,carrier_att,SUPPORTS_CARRIER
product_B008KCSL9W,carrier_att,SUPPORTS_CARRIER
product_B008KCSL9W,carrier_tmobile,SUPPORTS_CARRIER
product_B08KY7QSZL,carrier_tracfone,SUPPORTS_CARRIER
product_B004PSSODS,carrier_verizon,SUPPORTS_CARRIER
product_B08HYPFZQL,carrier_tmobile,SUPPORTS_CARRIER
product_B095S18VBF,carrier_tmobile,SUPPORTS_CARRIER
product_B09SZRGR28,carrier_verizon,SUPPORTS_CARRIER
product_B07CFM5QRJ,carrier_tmobile,SUPPORTS_CARRIER
product_B07CFM5QRJ,carrier_verizon,SUPPORTS_CARRIER
product_B0721TQ8VD,carrier_att,SUPPORTS_CARRIER
product_B08DDHKLVN,carrier_tmobile,SUPPORTS_CARRIER
product_B08WCTYSDF,carrier_tmobile,SUPPORTS_CARRIER
product_B07YJ34MVF,carrier_att,SUPPORTS_CARRIER
product_B09JJCXC2M,carrier_tmobile,SUPPORTS_CARRIER
product_B08683JKTM,carrier_verizon,SUPPORTS_CARRIER
product_B08FRNCQHQ,carrier_tmobile,SUPPORTS_CARRIER
product_B085F3NP61,carrier_att,SUPPORTS_CARRIER
product_B08MV9MRLN,carrier_att,SUPPORTS_CARRIER
product_B09X5QKT1C,carrier_tmobile,SUPPORTS_CARRIER
product_B07XPFZQY8,carrier_tmobile,SUPPORTS_CARRIER
product_B073J2RWLS,carrier_tmobile,SUPPORTS_CARRIER
product_B08T4T9DYQ,carrier_straight_talk,SUPPORTS_CARRIER
product_B088X48S7L,carrier_verizon,SUPPORTS_CARRIER
product_B06XWVLWB1,carrier_tmobile,SUPPORTS_CARRIER
product_B08PP9FM9N,carrier_verizon,SUPPORTS_CARRIER
product_B000JJGNJO,carrier_att,SUPPORTS_CARRIER
product_B0BFXHGL14,carrier_tmobile,SUPPORTS_CARRIER
product_B0BZZWDX5V,carrier_verizon,SUPPORTS_CARRIER
product_B07GYY6VTD,carrier_att,SUPPORTS_CARRIER
product_B07GYY6VTD,carrier_tmobile,SUPPORTS_CARRIER
product_B09HFW8GRB,carrier_tmobile,SUPPORTS_CARRIER
product_B07Y3X3FNF,carrier_tmobile,SUPPORTS_CARRIER
product_B01N9OOF5P,carrier_sprint,SUPPORTS_CARRIER
product_B01N9OOF5P,carrier_boost_mobile,SUPPORTS_CARRIER
product_B01MYSMLO0,carrier_att,SUPPORTS_CARRIER
product_B07GBS4G83,carrier_tracfone,SUPPORTS_CARRIER
product_B07B19C631,carrier_att,SUPPORTS_CARRIER
product_B08782T24C,carrier_tmobile,SUPPORTS_CARRIER
product_B08M8VJNM3,carrier_tmobile,SUPPORTS_CARRIER
product_B07NVVP6CV,carrier_att,SUPPORTS_CARRIER
product_B07VR8FG99,carrier_metro_by_tmobile,SUPPORTS_CARRIER
product_B07VR8FG99,carrier_tmobile,SUPPORTS_CARRIER
product_B09Q1NDYPN,carrier_tmobile,SUPPORTS_CARRIER
product_B09PHTBYLC,carrier_verizon,SUPPORTS_CARRIER
product_B08PN7ZDRD,carrier_verizon,SUPPORTS_CARRIER
product_B0BDCH215P,carrier_att,SUPPORTS_CARRIER
product_B07NXVVSQZ,carrier_tmobile,SUPPORTS_CARRIER
product_B00JXQMBZE,carrier_att,SUPPORTS_CARRIER
product_B00JXQMBZE,carrier_tmobile,SUPPORTS_CARRIER
product_B00JXQMBZE,carrier_tracfone,SUPPORTS_CARRIER
product_B0002W2H2K,carrier_verizon,SUPPORTS_CARRIER
product_B00NVQ19NW,carrier_net10,SUPPORTS_CARRIER
product_B00NVQ19NW,carrier_tracfone,SUPPORTS_CARRIER
product_B09CLQJK4L,carrier_tracfone,SUPPORTS_CARRIER
product_B07V9X47LK,carrier_att,SUPPORTS_CARRIER
product_B08DN7QHT9,carrier_att,SUPPORTS_CARRIER
product_B08WC94F62,carrier_tmobile,SUPPORTS_CARRIER
product_B0921NWKX3,carrier_tmobile,SUPPORTS_CARRIER
product_B07GZDNF4X,carrier_att,SUPPORTS_CARRIER
product_B009KPORT6,carrier_att,SUPPORTS_CARRIER
product_B07MNF76BD,carrier_att,SUPPORTS_CARRIER
product_B07QGL1VM3,carrier_tracfone,SUPPORTS_CARRIER
product_B087N63YGN,carrier_tmobile,SUPPORTS_CARRIER
product_B0896QZLTT,carrier_tmobile,SUPPORTS_CARRIER
product_B0BKG3NPF6,carrier_att,SUPPORTS_CARRIER
product_B07YYN95Z8,carrier_tmobile,SUPPORTS_CARRIER
product_B01M1SHBZ1,carrier_att,SUPPORTS_CARRIER
product_B0BTTQY5MR,carrier_att,SUPPORTS_CARRIER
product_B095S1956C,carrier_tmobile,SUPPORTS_CARRIER
product_B09C2NWPDX,carrier_verizon,SUPPORTS_CARRIER
product_B00IRNSW9I,carrier_net10,SUPPORTS_CARRIER
product_B00IRNSW9I,carrier_tracfone,SUPPORTS_CARRIER
product_B09813F5LX,carrier_att,SUPPORTS_CARRIER
product_B07SXB8VKP,carrier_tmobile,SUPPORTS_CARRIER
product_B0872BM6CV,carrier_att,SUPPORTS_CARRIER
product_B0872BM6CV,carrier_tmobile,SUPPORTS_CARRIER
product_B09C6N8P6Y,carrier_att,SUPPORTS_CARRIER
product_B088FJF1CJ,carrier_att,SUPPORTS_CARRIER
product_B07CGT44C4,carrier_att,SUPPORTS_CARRIER
product_B005TDGXKO,carrier_att,SUPPORTS_CARRIER
product_B07RG4JXZB,carrier_virgin_mobile,SUPPORTS_CARRIER
product_B08KGHD87T,carrier_tmobile,SUPPORTS_CARRIER
product_B07C9Z51DH,carrier_att,SUPPORTS_CARRIER
product_B084MJN6Z7,carrier_tmobile,SUPPORTS_CARRIER
product_B00XM28BQ8,carrier_tmobile,SUPPORTS_CARRIER
product_B00XM28BQ8,carrier_tracfone,SUPPORTS_CARRIER
product_B093CN63GT,carrier_tmobile,SUPPORTS_CARRIER
product_B07FK4B4WS,carrier_att,SUPPORTS_CARRIER
product_B097CJXJ37,carrier_verizon,SUPPORTS_CARRIER
product_B07KGG9F63,carrier_att,SUPPORTS_CARRIER
product_B07KGG9F63,carrier_cricket,SUPPORTS_CARRIER
product_B07KGG9F63,carrier_tmobile,SUPPORTS_CARRIER
product_B07KGG9F63,carrier_straight_talk,SUPPORTS_CARRIER
product_B07FRZKZBR,carrier_att,SUPPORTS_CARRIER
product_B075Y3YT8C,carrier_verizon,SUPPORTS_CARRIER
