source,target,relationship
product_B07SG731NV,tech_wifi,USES_TECHNOLOGY
product_B07SG731NV,tech_gsm,USES_TECHNOLOGY
product_B07SG731NV,tech_2g,USES_TECHNOLOGY
product_B07SDQ483V,tech_wifi,USES_TECHNOLOGY
product_B07SDQ483V,tech_lte,USES_TECHNOLOGY
product_B07SDQ483V,tech_gsm,USES_TECHNOLOGY
product_B098BK2SJ5,tech_4g,USES_TECHNOLOGY
product_B098BK2SJ5,tech_wifi,USES_TECHNOLOGY
product_B098BK2SJ5,tech_gsm,USES_TECHNOLOGY
product_B0B97Z7H3P,tech_cdma,USES_TECHNOLOGY
product_B0B97Z7H3P,tech_lte,USES_TECHNOLOGY
product_B0B97Z7H3P,tech_wifi,USES_TECHNOLOGY
product_B0B97Z7H3P,tech_gsm,USES_TECHNOLOGY
product_B0B97Z7H3P,tech_5g,USES_TECHNOLOGY
product_B08CZJFV8F,tech_cdma,USES_TECHNOLOGY
product_B08CZJFV8F,tech_lte,USES_TECHNOLOGY
product_B08CZJFV8F,tech_4g,USES_TECHNOLOGY
product_B08CZJFV8F,tech_wifi,USES_TECHNOLOGY
product_B08CZJFV8F,tech_gsm,USES_TECHNOLOGY
product_B0B84WW1Y2,tech_cdma,USES_TECHNOLOGY
product_B0B84WW1Y2,tech_bluetooth,USES_TECHNOLOGY
product_B0B84WW1Y2,tech_4g,USES_TECHNOLOGY
product_B0B84WW1Y2,tech_gsm,USES_TECHNOLOGY
product_B0B84WW1Y2,tech_wifi,USES_TECHNOLOGY
product_B013IQCUAK,tech_4g,USES_TECHNOLOGY
product_B013IQCUAK,tech_wifi,USES_TECHNOLOGY
product_B013IQCUAK,tech_gsm,USES_TECHNOLOGY
product_B013IQCUAK,tech_lte,USES_TECHNOLOGY
product_B0BL9TKSBL,tech_bluetooth,USES_TECHNOLOGY
product_B0BL9TKSBL,tech_lte,USES_TECHNOLOGY
product_B0BL9TKSBL,tech_3g,USES_TECHNOLOGY
product_B0BL9TKSBL,tech_hotspot,USES_TECHNOLOGY
product_B0BL9TKSBL,tech_4g,USES_TECHNOLOGY
product_B0BL9TKSBL,tech_wifi,USES_TECHNOLOGY
product_B0BL9TKSBL,tech_2g,USES_TECHNOLOGY
product_B0BL9TKSBL,tech_usb,USES_TECHNOLOGY
product_B0BY5V82W4,tech_cdma,USES_TECHNOLOGY
product_B0BY5V82W4,tech_lte,USES_TECHNOLOGY
product_B0BY5V82W4,tech_wifi,USES_TECHNOLOGY
product_B0BY5V82W4,tech_gsm,USES_TECHNOLOGY
product_B0BY5V82W4,tech_5g,USES_TECHNOLOGY
product_B07YHMHWQD,tech_wifi,USES_TECHNOLOGY
product_B07YHMHWQD,tech_lte,USES_TECHNOLOGY
product_B07YHMHWQD,tech_gsm,USES_TECHNOLOGY
product_B07YHMHWQD,tech_cdma,USES_TECHNOLOGY
product_B09FJBVV8B,tech_lte,USES_TECHNOLOGY
product_B09FJBVV8B,tech_nfc,USES_TECHNOLOGY
product_B09FJBVV8B,tech_2g,USES_TECHNOLOGY
product_B08BXBT8MD,tech_cdma,USES_TECHNOLOGY
product_B08BXBT8MD,tech_lte,USES_TECHNOLOGY
product_B08BXBT8MD,tech_3g,USES_TECHNOLOGY
product_B08BXBT8MD,tech_4g,USES_TECHNOLOGY
product_B08BXBT8MD,tech_wifi,USES_TECHNOLOGY
product_B08BXBT8MD,tech_gsm,USES_TECHNOLOGY
product_B08BXBT8MD,tech_umts,USES_TECHNOLOGY
product_B08BXBT8MD,tech_2g,USES_TECHNOLOGY
product_B0BXKWGCSW,tech_nfc,USES_TECHNOLOGY
product_B0BXKWGCSW,tech_cdma,USES_TECHNOLOGY
product_B0BXKWGCSW,tech_bluetooth,USES_TECHNOLOGY
product_B0BXKWGCSW,tech_lte,USES_TECHNOLOGY
product_B0BXKWGCSW,tech_wifi,USES_TECHNOLOGY
product_B0BXKWGCSW,tech_gsm,USES_TECHNOLOGY
product_B0BXKWGCSW,tech_usb,USES_TECHNOLOGY
product_B0BXKWGCSW,tech_5g,USES_TECHNOLOGY
product_B08BZB1N6F,tech_wifi,USES_TECHNOLOGY
product_B08BZB1N6F,tech_5g,USES_TECHNOLOGY
product_B085G711ML,tech_cdma,USES_TECHNOLOGY
product_B085G711ML,tech_lte,USES_TECHNOLOGY
product_B085G711ML,tech_4g,USES_TECHNOLOGY
product_B085G711ML,tech_wifi,USES_TECHNOLOGY
product_B085G711ML,tech_gsm,USES_TECHNOLOGY
product_B0B4VCQ7MB,tech_cdma,USES_TECHNOLOGY
product_B0B4VCQ7MB,tech_lte,USES_TECHNOLOGY
product_B0B4VCQ7MB,tech_wifi,USES_TECHNOLOGY
product_B0B4VCQ7MB,tech_gsm,USES_TECHNOLOGY
product_B0B4VCQ7MB,tech_usb,USES_TECHNOLOGY
product_B0B4VCQ7MB,tech_5g,USES_TECHNOLOGY
product_B07J6N3BRG,tech_cdma,USES_TECHNOLOGY
product_B07J6N3BRG,tech_lte,USES_TECHNOLOGY
product_B07J6N3BRG,tech_4g,USES_TECHNOLOGY
product_B07J6N3BRG,tech_gsm,USES_TECHNOLOGY
product_B07J6N3BRG,tech_usb,USES_TECHNOLOGY
product_B06WGL82S6,tech_bluetooth,USES_TECHNOLOGY
product_B06WGL82S6,tech_lte,USES_TECHNOLOGY
product_B00VQQ294C,tech_usb,USES_TECHNOLOGY
product_B07GQ915R8,tech_gsm,USES_TECHNOLOGY
product_B07GQ915R8,tech_3g,USES_TECHNOLOGY
product_B07GQ915R8,tech_2g,USES_TECHNOLOGY
product_B07GQ915R8,tech_cdma,USES_TECHNOLOGY
product_B09M7514S7,tech_gsm,USES_TECHNOLOGY
product_B09M7514S7,tech_2g,USES_TECHNOLOGY
product_B09M7514S7,tech_usb,USES_TECHNOLOGY
product_B0013E07NC,tech_infrared,USES_TECHNOLOGY
product_B0013E07NC,tech_bluetooth,USES_TECHNOLOGY
product_B0013E07NC,tech_wifi,USES_TECHNOLOGY
product_B0013E07NC,tech_gsm,USES_TECHNOLOGY
product_B0013E07NC,tech_umts,USES_TECHNOLOGY
product_B0013E07NC,tech_2g,USES_TECHNOLOGY
product_B083JJGXQK,tech_wifi,USES_TECHNOLOGY
product_B083JJGXQK,tech_gsm,USES_TECHNOLOGY
product_B083JJGXQK,tech_2g,USES_TECHNOLOGY
product_B08JPH37DY,tech_bluetooth,USES_TECHNOLOGY
product_B08JPH37DY,tech_3g,USES_TECHNOLOGY
product_B08JPH37DY,tech_wifi,USES_TECHNOLOGY
product_B08JPH37DY,tech_gsm,USES_TECHNOLOGY
product_B08JPH37DY,tech_usb,USES_TECHNOLOGY
product_B08NCFGTJ7,tech_gsm,USES_TECHNOLOGY
product_B08NCFGTJ7,tech_5g,USES_TECHNOLOGY
product_B08NCFGTJ7,tech_nfc,USES_TECHNOLOGY
product_B08NCFGTJ7,tech_cdma,USES_TECHNOLOGY
product_B085BCFCK2,tech_cdma,USES_TECHNOLOGY
product_B085BCFCK2,tech_gsm,USES_TECHNOLOGY
product_B085BCFCK2,tech_2g,USES_TECHNOLOGY
product_B085BCFCK2,tech_usb,USES_TECHNOLOGY
product_B01N0QJ8N1,tech_wifi,USES_TECHNOLOGY
product_B01N0QJ8N1,tech_gsm,USES_TECHNOLOGY
product_B01N0QJ8N1,tech_3g,USES_TECHNOLOGY
product_B01N0QJ8N1,tech_2g,USES_TECHNOLOGY
product_B084GZ1V9V,tech_4g,USES_TECHNOLOGY
product_B084GZ1V9V,tech_wifi,USES_TECHNOLOGY
product_B07L6QY1TJ,tech_wifi,USES_TECHNOLOGY
product_B09JFJ1Q5C,tech_bluetooth,USES_TECHNOLOGY
