id,label
accessory_charger,charger
accessory_usb_cable,usb cable
accessory_adapter,adapter
accessory_earphone,earphone
accessory_sim_tray_ejector_x1,sim tray ejector x1
accessory_screen_protector_x1,screen protector x1
accessory_usb_cable_x_1,usb cable x 1
accessory_phone_case_x_1,phone case x 1
accessory_charger_adapter,charger adapter
accessory_1,1
accessory_video_recorder,video recorder
accessory_camera,camera
accessory_user_manual,user manual
accessory_sim_tray_ejector,sim tray ejector
accessory_data_cable,data cable
accessory_usb,usb
accessory_handsfree,handsfree
accessory_manual,manual
accessory_sim_tray,sim tray
accessory_type_c_cable,type c cable
accessory_inc,inc
accessory_unknown,电话盒
accessory_headset,headset
accessory_screen_protector,screen protector
accessory_quick_guide,quick guide
accessory_protective_case,protective case
accessory_sim_key,sim key
accessory_quick_reference_manual,quick reference manual
accessory_iphone,iphone
accessory_mfi_cable,mfi cable
accessory_sim_pin_ejector,sim pin ejector
accessory_stylus,stylus
accessory_quick_reference_guide,quick reference guide
accessory_micro_usb_connector,micro usb connector
accessory_sim_tra,sim tra
accessory_5_mp_camera,5 mp camera
accessory_android,android
accessory_fast_car_charger,fast car charger
accessory_headphones,headphones
accessory_key,key
accessory_silicone_case,silicone case
accessory_battery,battery
accessory_charger_and_quick_guide,charger and quick guide
accessory_otg_dongle,otg dongle
accessory_silicon_case,silicon case
accessory_qsg,qsg
accessory_quick_start_guide,quick start guide
accessory_wall_charger,wall charger
accessory_service_guide,service guide
accessory_instruction_manual,instruction manual
accessory_menthol_10,menthol 10%
accessory_phone_x1,phone x1
accessory_usb_cable_x1,usb cable x1
accessory_charger_x1,charger x1
accessory_cue_card_x1,cue card x1
accessory_user_manual_x1,user manual x1
accessory_protect_case_x1,protect case x1
accessory_travel_adapter,travel adapter
accessory_ejection_pin,ejection pin
accessory_kkk,kkk
accessory_1_data_cable,1 data cable
accessory_1_protective_cover,1 protective cover
accessory_1_user_manual,1 user manual
accessory_1_handset,1 handset
accessory_1_battery,1 battery
accessory_1_charger,1 charger
accessory_1_screen_protector,1 screen protector
accessory_lightning_to_usb_cable,lightning to usb cable
accessory_screen_protect,screen protect
accessory_sim,sim
accessory_us_charger,us charger
accessory_tempered_glass_screen_protector,tempered glass screen protector
accessory_armor_x10_rugged_phone,armor x10 rugged phone
accessory_sim_needle_1x_sling,sim needle+ 1x sling
