id,label
brand_alcatel,alcatel
brand_blu,blu
brand_samsung,samsung
brand_motorola,motorola
brand_ulefone,ulefone
brand_umidigi,umidigi
brand_nuu,nuu
brand_apple,apple
brand_oukitel,oukitel
brand_google,google
brand_blackview,blackview
brand_asus,asus
brand_zte,zte
brand_acogedor,acogedor
brand_tracfone,tracfone
brand_lg,lg
brand_sudroid,sudroid
brand_sonim,sonim
brand_xiaomi,xiaomi
brand_folosafenar,folosafenar
brand_xuele,xuele
brand_acer,acer
brand_kxd,kxd
brand_1801tech,1801tech
brand_palm,palm
brand_htc,htc
brand_sony,sony
brand_indigi,indigi
brand_huawei,huawei
brand_tosuny,tosuny
brand_oneplus,oneplus
brand_microsoft,microsoft
brand_tcl,tcl
brand_aspercreme,aspercreme
brand_kyocera,kyocera
brand_azfunn,azfunn
brand_cubot,cubot
brand_slideco,slide-co
brand_total_by_verizon,total by verizon
brand_cellallure,cellallure
brand_mgxin,mgxin
brand_sony_ericsson,sony ericsson
brand_doogee,doogee
brand_uleway,uleway
brand_ctmiami_llc,ct-miami llc
brand_tianhoo,tianhoo
brand_gigaset,gigaset
brand_pantech,pantech
brand_net10,net10
brand_plum,plum
brand_sidekick,sidekick
brand_agm,agm
brand_sprint,sprint
brand_galaxy_buds,galaxy buds
brand_u_l_e_f_o_n_e,u l e f o n e
brand_pomya,pomya
brand_firefly,firefly
brand_ecandy,ecandy
brand_iridium,iridium
brand_idroid,idroid
brand_generic,generic
brand_xgody,xgody
brand_easyfone,easyfone
brand_lansxxy,lansxxy
brand_audiovox,audiovox
brand_sanyo,sanyo
brand_ilight,ilight
brand_sony_ericsson_mobile,sony ericsson mobile
brand_phonemax,phonemax
brand_dpofirs,dpofirs
brand_pusokei,pusokei
brand_lcydz,lcydz
brand_yoidesu,yoidesu
brand_servo,servo
brand_googleelectronics,google_electronics
brand_exachat,exachat
brand_kronu_llc,kronu llc
brand_ciglow,ciglow
brand_instant_innovations,instant innovations
brand_lavir,lavir
brand_kta_mobile_communications,kta mobile communications
brand_sanshreuni,sanshreuni
brand_fujitsu,fujitsu
brand_total_wireless,total wireless
brand_vbestlife,vbestlife
brand_atevense,atevense
brand_tihebeyan,tihebeyan
brand_iocean,iocean
brand_samsung_electronics_store,samsung electronics store
brand_realme,realme
brand_hotwav,hotwav
brand_sharp,sharp
brand_ken_xin_da,ken xin da
brand_black_shark,black shark
brand_unknown,unknown
brand_ge,ge
brand_amazon_renewed,amazon renewed
brand_conquest,conquest
brand_yuntab,yuntab
brand_sharp_he,sharp he
brand_ps_mobile,ps mobile
brand_yezz,yezz
brand_yunseity,yunseity
brand_straight_talk,straight talk
brand_gsm_harbour,gsm harbour
brand_victony,victony
brand_logic,logic
brand_saitek,saitek
brand_freedompop,freedompop
brand_redmagic,redmagic
brand_ushining,ushining
brand_danger,danger
brand_lenovo,lenovo
brand_lock_socket,lock socket
brand_winntech,winn-tech
brand_novatel,novatel
brand_simple_mobile,simple mobile
brand_a_m_a_z_o_n,a m a z o n
brand_hewlett_packard,hewlett packard
brand_hp,hp
brand_aderroo,aderroo
brand_xplora,xplora
brand_binj,binj
brand_newmind,newmind
brand_egen,egen
brand_poco_llc,"poco, llc"
brand_l8star,l8star
brand_virgin_mobile,virgin mobile
brand_redmi,redmi
brand_v_mobile,v mobile
brand_setpot,setpot
brand_panasonic,panasonic
brand_diydeg,diydeg
brand_yasashe,yasashe
brand_republicwireless,republicwireless
brand_tuanzi,tuanzi
brand_hilitand,hilitand
brand_s_smooth,s smooth
brand_zanco,zanco
brand_dilwe,dilwe
brand_siemens,siemens
brand_kudoo,kudoo
brand_artist_unknown,artist unknown
brand_jiake,jiake
brand_sanyo_rl2500,sanyo rl-2500
brand_cat_phone,cat phone
brand_tmobile,t-mobile
brand_honor,honor
brand_rca,rca
brand_ciciglow,ciciglow
brand_kata,kata
brand_yealink,yealink
brand_uniwa,uniwa
brand_ctmia_pallet_ordering,ctmia - pallet ordering
brand_nuu_mobile,nuu mobile
brand_kidsconnect,kidsconnect
brand_slide,slide
brand_attwireless,at&t-wireless
brand_samsung_electronics,samsung electronics
brand_vtech,vtech
brand_zerone,zerone
brand_aivmolikjafuam,aivmolik?jafuam
brand_jethro_trading_ltd,jethro trading ltd.
brand_artfone,artfone
brand_xboss,xboss
brand_apple_computer,apple computer
brand_simbros,simbros
brand_heayzoki,heayzoki
brand_chefzbest,chefzbest
