id,label,asin,title,average_rating,rating_number,price,color,dimensions,weight,model_number,date_first_available,screen_size,display_resolution,form_factor,operating_system,display_technology,model_name,ram_gb,storage_gb
product_B07SG731NV,"alcatel 1c 2019 5003g 3g 5.0"" quad-core 8gb 1gb ram 5mp android 8.1 factory unlocked smartphone (pink)",B07SG731NV,"alcatel 1c 2019 5003g 3g 5.0"" quad-core 8gb 1gb ram 5mp android 8.1 factory unlocked smartphone (pink)",2.5,5,,pink,,11.2 ounces,,"may 30, 2019",5 inches,,smartphone,android 8.1,,,,8.0
product_B07SDQ483V,"blu vivo xl4 6.2"" hd display smartphone 32gb+3gb ram, black",B07SDQ483V,"blu vivo xl4 6.2"" hd display smartphone 32gb+3gb ram, black",4.2,3362,,black,6.19 x 0.3 x 3 inches,8 ounces,v0350ww black,"october 24, 2018",6.2 inches,720x1520,smartphone,,,vivo xl4,32.0,32.0
product_B098BK2SJ5,samsung galaxy a52 | a525f | 128gb 6gb ram | factory unlocked (gsm only | not compatible with verizon/sprint/boost) | international model (awesome purple),B098BK2SJ5,samsung galaxy a52 | a525f | 128gb 6gb ram | factory unlocked (gsm only | not compatible with verizon/sprint/boost) | international model (awesome purple),4.3,685,199.99,awesome purple,,14.5 ounces,,"june 30, 2021",6.5 inches,,slate,,amoled,samsung a52,6.0,128.0
product_B01GINVN1W,moto g (4th generation) - black - 32 gb - unlocked - prime exclusive - with lockscreen offers & ads,B01GINVN1W,moto g (4th generation) - black - 32 gb - unlocked - prime exclusive - with lockscreen offers & ads,4.2,185,,black,3.02 x 0.39 x 6.02 inches,0.01 ounces,xt1625,"october 26, 2020",,1920 x 1080,,,,,32.0,
product_B0B97Z7H3P,samsung galaxy s20 fe 5g uw 128gb for verizon (cloud red) (renewed),B0B97Z7H3P,samsung galaxy s20 fe 5g uw 128gb for verizon (cloud red) (renewed),3.6,15,149.95,cloud red,7 x 5 x 2.5 inches,12 ounces,,"august 10, 2022",,,slate,,,galaxy 20 fe 5g,8.0,128.0
product_B08CZJFV8F,"ulefone unlocked smartphones note 9p android 10 unlocked cell phone octa-core 4gb + 64gb rom, 16mp triple rear camera + 8mp front camera, 6.52"" hd+ screen 4500mah battery dual sim 4g unlocked phones",B08CZJFV8F,"ulefone unlocked smartphones note 9p android 10 unlocked cell phone octa-core 4gb + 64gb rom, 16mp triple rear camera + 8mp front camera, 6.52"" hd+ screen 4500mah battery dual sim 4g unlocked phones",3.8,65,,note 9p green,6.54 x 3.02 x 0.36 inches,6.6 ounces,ulefone note 9p,"july 15, 2020",6.52 inches,,166*76.7*9.2mm,,led,ulefone note 9p,4.0,64.0
product_B0B84WW1Y2,"umidigi f3 se smartphone (4gb + 128gb) unlocked cell phone, 6.7'' screen phone and 20mp ai camera cell phone, 5150mah battery android 11 unlocked android phone global version…",B0B84WW1Y2,"umidigi f3 se smartphone (4gb + 128gb) unlocked cell phone, 6.7'' screen phone and 20mp ai camera cell phone, 5150mah battery android 11 unlocked android phone global version…",4.0,37,169.99,hawaii blue,2.98 x 0.34 x 6.61 inches,6.5 ounces,umidigi,"july 30, 2022",6.7 inches,,touch screen,android 11.0,,f3 se,,128.0
product_B013IQCUAK,"nuu mobile z8 5.5"" fhd octa-core dual lte sim unlocked android lollipop smartphone with 2-year ltd warranty, white",B013IQCUAK,"nuu mobile z8 5.5"" fhd octa-core dual lte sim unlocked android lollipop smartphone with 2-year ltd warranty, white",2.8,31,,white,6.02 x 3.01 x 0.37 inches,5.9 ounces,z8-32gb-wht,"august 6, 2015",5.5 inches,1080p,smartphone,,,z8,,32.0
product_B0BL9TKSBL,moto g power | 2022 | 3-day battery | unlocked | made for us by motorola | 4/64gb | 50 mp camera | dark grove,B0BL9TKSBL,moto g power | 2022 | 3-day battery | unlocked | made for us by motorola | 4/64gb | 50 mp camera | dark grove,4.2,655,129.99,dark grove,6.57 x 3.03 x 0.35 inches,7.2 ounces,pase0007us,"march 10, 2022",6,,,android 11.0,,moto g power 2022,,64.0
product_B0BY5V82W4,"apple iphone 14 plus, 512gb, (product) red - unlocked (renewed)",B0BY5V82W4,"apple iphone 14 plus, 512gb, (product) red - unlocked (renewed)",4.5,225,909.89,(product) red,,14.9 ounces,,"november 24, 2022",6.7 inches,,slate,,,iphone 14 plus,,512.0
product_B07YHMHWQD,"umidigi a11s unlocked cell phone, 6.53"" fhd full view screen, 5150mah battery android 11 smartphone with dual sim (4g lte)",B07YHMHWQD,"umidigi a11s unlocked cell phone, 6.53"" fhd full view screen, 5150mah battery android 11 smartphone with dual sim (4g lte)",3.8,1095,139.99,frost grey,6.38 x 2.95 x 0.35 inches,0.141 ounces,umidigi a11s,"december 9, 2021",6.53 inches,,smartphone,,,a11s,4.0,64.0
product_B09FJBVV8B,"oukitel rugged smartphone unlocked, wp9 new unlocked android cell phone 128gb rom+6gb ram, 8000mah battery, 5.86” hd+ display, support nfc-google pay waterproof drop- proof dust-proof (black)",B09FJBVV8B,"oukitel rugged smartphone unlocked, wp9 new unlocked android cell phone 128gb rom+6gb ram, 8000mah battery, 5.86” hd+ display, support nfc-google pay waterproof drop- proof dust-proof (black)",3.5,46,199.99,black,6.14 x 2.99 x 0.75 inches,1.37 pounds,wp9,"june 19, 2021",5.86 inches,,smartphone,,,wp9 pro,6.0,128.0
product_B08BXBT8MD,"google pixel 3a xl (64gb, 4gb) 6.0"" display gsm/cdma unlocked (at&t/t-mobile/verizon/sprint) 4g lte international model (just black)",B08BXBT8MD,"google pixel 3a xl (64gb, 4gb) 6.0"" display gsm/cdma unlocked (at&t/t-mobile/verizon/sprint) 4g lte international model (just black)",4.3,26,,just black,,1.05 pounds,g020b,"february 1, 2020",6 inches,1080 x 2160,smartphone,android 9.0,oled,pixel 3a xl,4.0,64.0
product_B0BXKWGCSW,"samsung galaxy s23 cell phone, factory unlocked android smartphone, 256gb storage, 50mp camera, night mode, long battery life, adaptive display, us version, 2023, phantom black",B0BXKWGCSW,"samsung galaxy s23 cell phone, factory unlocked android smartphone, 256gb storage, 50mp camera, night mode, long battery life, adaptive display, us version, 2023, phantom black",4.4,64,759.99,phantom black,,5.9 ounces,sm-s911uzkexaa,"february 1, 2023",6.1 inches,,,android 13.0,,samsung galaxy s23,,256.0
product_B00PHN4A8I,blu life play mini l190a unlocked gsm dual-sim android 4.4 (kitkat) smartphone - blue,B00PHN4A8I,blu life play mini l190a unlocked gsm dual-sim android 4.4 (kitkat) smartphone - blue,3.3,8,,,4.92 x 0.49 x 2.56 inches,0.01 ounces,,"november 11, 2014",,,smartphone,,"lcd, led",,,
product_B08BZB1N6F,samsung galaxy s20 ultra cosmic black 512gb for verizon (renewed),B08BZB1N6F,samsung galaxy s20 ultra cosmic black 512gb for verizon (renewed),4.0,5,,cosmic black,7 x 5 x 4 inches,1 pounds,galaxy s20 ultra 5g,"june 29, 2020",6.9 inches,,,android,,s20 ultra,,512.0
product_B085G711ML,"blackview rugged cell phones unlocked, bv5900 shockproof, waterproof outdoor smartphone, 5.7 inches hd+,5580mah battery, 3gb + 32gb, android 9.0 durable phone,nfc,type c, dual sim 4g (at&t, t-mobile)",B085G711ML,"blackview rugged cell phones unlocked, bv5900 shockproof, waterproof outdoor smartphone, 5.7 inches hd+,5580mah battery, 3gb + 32gb, android 9.0 durable phone,nfc,type c, dual sim 4g (at&t, t-mobile)",3.4,46,,black,5.98 x 2.99 x 0.55 inches,8 ounces,blackview bv5900,"march 13, 2020",5.7 inches,720 x 1520,smartphone,,lcd,bv5900,,32.0
product_B0B4VCQ7MB,samsung galaxy s22+ plus 256gb factory unlocked sm-s906u1 pink gold (renewed),B0B4VCQ7MB,samsung galaxy s22+ plus 256gb factory unlocked sm-s906u1 pink gold (renewed),4.4,136,493.0,pink gold,3 x 0.3 x 6 inches,1 pounds,galaxy s22+,"july 12, 2022",,,slate,,,samsung galaxy s22+,,256.0
product_B07J6N3BRG,"asus rog phone (zs600kl) 6.0 inchs with 8gb ram / 128gb storage, (gsm only, no cdma) factory unlocked international version no-warranty cell phone (black)",B07J6N3BRG,"asus rog phone (zs600kl) 6.0 inchs with 8gb ram / 128gb storage, (gsm only, no cdma) factory unlocked international version no-warranty cell phone (black)",3.9,17,,black,6.25 x 3 x 0.33 inches,7.1 ounces,zs600kl,"october 12, 2018",6 inches,,smartphone,android,amoled,zs600kl,8.0,128.0
product_B06WGL82S6,zte cymbal z-320 flip phone unlocked (t-mobile),B06WGL82S6,zte cymbal z-320 flip phone unlocked (t-mobile),3.6,174,89.0,,,7.8 ounces,610214648471,"february 8, 2017",2.8 inches,,flip,,oled,,,64.0
product_B00VQQ294C,apple ipod touch 16gb (5th generation) - space gray (renewed),B00VQQ294C,apple ipod touch 16gb (5th generation) - space gray (renewed),3.9,222,205.0,space gray,,9.6 ounces,app-mgg82ll/a-ob,"april 6, 2015",4 inches,,,,lcd,,,16.0
product_B07GQ915R8,"blu tank x t630 unlocked 2.4"" gsm dual sim vga camera 32mb w/built-in flashlight (grey)",B07GQ915R8,"blu tank x t630 unlocked 2.4"" gsm dual sim vga camera 32mb w/built-in flashlight (grey)",3.6,15,,grey,5.51 x 5.51 x 2.36 inches,0.38 pounds,,"august 21, 2018",2.4 inches,240 x 320,,,,,,32.0
product_B09M7514S7,"flip phone for seniors, big button senior cell phone 32+32mb memory dual cards dual standby 2g mobile phone keyboard phone, sos button, 1200mah battery(red)",B09M7514S7,"flip phone for seniors, big button senior cell phone 32+32mb memory dual cards dual standby 2g mobile phone keyboard phone, sos button, 1200mah battery(red)",2.1,9,,red,,7.4 ounces,,"november 18, 2021",2.4 inches,,flip,,,,,32.0
product_B0013E07NC,motorola motorizr z8 black unlocked triband gsm phone,B0013E07NC,motorola motorizr z8 black unlocked triband gsm phone,5.0,2,,black,,3.95 ounces,z8-blk,"january 31, 2008",2.2 inches,,"slider, smartphone","symbian os v9.2, uiq 3.1","lcd, led",motorizr z8,,
product_B000F7P7BK,net10 motorola prepaid cellular phone45; blue40;ntgc13941;,B000F7P7BK,net10 motorola prepaid cellular phone45; blue40;ntgc13941;,3.2,9,,,,,,"may 24, 2006",,,,,,,,
product_B083JJGXQK,lg k40 x420 32gb unlocked gsm phone w/ 16mp camera - aurora black (renewed),B083JJGXQK,lg k40 x420 32gb unlocked gsm phone w/ 16mp camera - aurora black (renewed),3.9,193,,black,,11.2 ounces,,"january 6, 2020",5.7 inches,720 x 1440,smartphone,,"lcd, led",k40 x420,,32.0
product_B08JPH37DY,"sudroid unlocked mini smartphone, 2.5 inch the world's smallest cell phone 3g network premium child phone quad core small phone (black)",B08JPH37DY,"sudroid unlocked mini smartphone, 2.5 inch the world's smallest cell phone 3g network premium child phone quad core small phone (black)",3.3,89,56.99,black,3.27 x 1.57 x 0.39 inches,1.76 ounces,xs11,"september 22, 2020",2.5 inches,,smartphone,,,mini,,8.0
product_B08NCFGTJ7,samsung galaxy note 10+ plus 5g enabled verizon + gsm unlocked 256gb aura glow (renewed),B08NCFGTJ7,samsung galaxy note 10+ plus 5g enabled verizon + gsm unlocked 256gb aura glow (renewed),4.1,162,289.94,aura glow,7 x 5 x 4 inches,7 ounces,galaxy note 10+ 5g,"november 12, 2020",6.8 inches,3040 x 1440,slate,,,note 10+,,256.0
product_B085BCFCK2,sonim xp3 xp3800 flip phone 8gb rom/1g ram black sprint unlocked( renewed),B085BCFCK2,sonim xp3 xp3800 flip phone 8gb rom/1g ram black sprint unlocked( renewed),3.5,15,,black,,12 ounces,,"february 29, 2020",,,flip,,,xp3,,8.0
product_B01N0QJ8N1,blu zoey 2.4 cell phone gsm unlocked dual sim z070l,B01N0QJ8N1,blu zoey 2.4 cell phone gsm unlocked dual sim z070l,4.0,8,,black/blue,,2.57 ounces,z070l,"december 13, 2016",2.4 inches,240 x 320,,,lcd,,64.0,128.0
product_B084GZ1V9V,google pixel 4 xl 64 gb verizon (just black),B084GZ1V9V,google pixel 4 xl 64 gb verizon (just black),4.1,32,,,6.31 x 2.96 x 0.32 inches,1.06 pounds,ga01194-us,"february 4, 2020",6.3 inches,2560 x 1440,smartphone,android 12.0,oled,,,64.0
product_B07L6QY1TJ,"google pixel 3 - factory unlocked, pink, 64gb (renewed)",B07L6QY1TJ,"google pixel 3 - factory unlocked, pink, 64gb (renewed)",3.9,263,94.99,not pink,2.7 x 0.6 x 5.7 inches,5 ounces,sg_b07l6qgx7k_us,"december 7, 2018",,,smartphone,,oled,,,
