id,label,key,value,label,numeric_value,unit
spec_package_dimensions_567x323x228inches,package dimensions: 5.67 x 3.23 x 2.28 inches,package_dimensions,5.67 x 3.23 x 2.28 inches,package dimensions,,
spec_batteries_1lithiumionbatteriesrequiredincluded,batteries: 1 lithium ion batteries required. (included),batteries,1 lithium ion batteries required. (included),batteries,,
spec_os_android81,os: android 8.1,os,android 8.1,os,,
spec_wireless_communication_technologies_cellular,wireless communication technologies: cellular,wireless_communication_technologies,cellular,wireless communication technologies,,
spec_other_display_features_wireless,other display features: wireless,other_display_features,wireless,other display features,,
spec_other_camera_features_front,other camera features: front,other_camera_features,front,other camera features,,
spec_memory_storage_capacity_8gb,memory storage capacity: 8 gb,memory_storage_capacity,8 gb,memory storage capacity,8.0,gb
spec_connector_type_microusb,connector type: micro usb,connector_type,micro usb,connector type,,
spec_batteries_1abatteriesrequiredincluded,batteries: 1 a batteries required. (included),batteries,1 a batteries required. (included),batteries,,
spec_is_discontinued_by_manufacturer_no,is discontinued by manufacturer: no,is_discontinued_by_manufacturer,no,is discontinued by manufacturer,,
spec_ram_32gb,ram: 32 gb,ram,32 gb,ram,32.0,gb
spec_other_camera_features_130,other camera features: 13.0,other_camera_features,13.0,other camera features,,
spec_memory_storage_capacity_32gb,memory storage capacity: 32 gb,memory_storage_capacity,32 gb,memory storage capacity,32.0,gb
spec_package_dimensions_768x476x209inches,package dimensions: 7.68 x 4.76 x 2.09 inches,package_dimensions,7.68 x 4.76 x 2.09 inches,package dimensions,,
spec_ram_6gb,ram: 6 gb,ram,6 gb,ram,6.0,gb
spec_memory_storage_capacity_128gb,memory storage capacity: 128 gb,memory_storage_capacity,128 gb,memory storage capacity,128.0,gb
spec_os_android601marshmallow,os: android 6.0.1 marshmallow,os,android 6.0.1 marshmallow,os,,
spec_other_camera_features_13mp,other camera features: 13 mp,other_camera_features,13 mp,other camera features,13.0,mp
spec_batteries_1lithiumionbatteriesrequired,batteries: 1 lithium ion batteries required.,batteries,1 lithium ion batteries required.,batteries,,
spec_best_sellers_rank_amazonrenewed1019climatepledgefriendlyelectronics2007,"best sellers rank: {'amazon renewed': 1019, 'climate pledge friendly: electronics': 2007}",best_sellers_rank,"{'amazon renewed': 1019, 'climate pledge friendly: electronics': 2007}",best sellers rank,,
spec_os_ios,os: ios,os,ios,os,,
spec_ram_8gb,ram: 8 gb,ram,8 gb,ram,8.0,gb
spec_human_interface_input_buttons,human interface input: buttons,human_interface_input,buttons,human interface input,,
spec_battery_power_rating_3600,battery power rating: 3600,battery_power_rating,3600,battery power rating,,
spec_connector_type_usbtypec,connector type: usb type c,connector_type,usb type c,connector type,,
spec_batteries_1lithiumpolymerbatteriesrequiredincluded,batteries: 1 lithium polymer batteries required. (included),batteries,1 lithium polymer batteries required. (included),batteries,,
spec_os_android100,os: android 10.0,os,android 10.0,os,,
spec_ram_4gb,ram: 4 gb,ram,4 gb,ram,4.0,gb
spec_wireless_communication_technologies_bluetoothcellularwifinfc,"wireless communication technologies: bluetooth, cellular, wi-fi, nfc",wireless_communication_technologies,"bluetooth, cellular, wi-fi, nfc",wireless communication technologies,,
spec_gps_true,gps: true,gps,true,gps,,
spec_special_features_gsensorlsensorpsensorcompassfingerprintsensor,"special features: g-sensor, l-sensor, p-sensor, compass, fingerprint sensor",special_features,"g-sensor, l-sensor, p-sensor, compass, fingerprint sensor",special features,,
spec_human_interface_input_touchscreen,human interface input: touchscreen,human_interface_input,touchscreen,human interface input,,
spec_other_camera_features_rearfront,"other camera features: rear, front",other_camera_features,"rear, front",other camera features,,
spec_audio_jack_35mm,audio jack: 3.5 mm,audio_jack,3.5 mm,audio jack,3.5,mm
spec_phone_talk_time_25hours,phone talk time: 25 hours,phone_talk_time,25 hours,phone talk time,25.0,h
spec_memory_storage_capacity_64gb,memory storage capacity: 64 gb,memory_storage_capacity,64 gb,memory storage capacity,64.0,gb
spec_batteries_1lithiummetalbatteriesrequiredincluded,batteries: 1 lithium metal batteries required. (included),batteries,1 lithium metal batteries required. (included),batteries,,
spec_os_android110,os: android 11.0,os,android 11.0,os,,
spec_ram_128,ram: 128,ram,128,ram,,
spec_wireless_communication_technologies_bluetooth,wireless communication technologies: bluetooth,wireless_communication_technologies,bluetooth,wireless communication technologies,,
spec_special_features_usbotgsim,"special features: 移动热点能力, 支持 usb otg, 支持快速充电, 双 sim 卡, 可扩展存储器",special_features,"移动热点能力, 支持 usb otg, 支持快速充电, 双 sim 卡, 可扩展存储器",special features,,
spec_other_camera_features_rear,other camera features: rear,other_camera_features,rear,other camera features,,
spec_battery_power_rating_5150,battery power rating: 5150,battery_power_rating,5150,battery power rating,,
spec_phone_talk_time_6hours,phone talk time: 6 hours,phone_talk_time,6 hours,phone talk time,6.0,h
spec_country_of_origin_china,country of origin: china,country_of_origin,china,country of origin,,
spec_os_android,os: android,os,android,os,,
spec_special_features_microphonenoisecancellation,"special features: microphone, noise cancellation",special_features,"microphone, noise cancellation",special features,,
spec_phone_talk_time_11hours,phone talk time: 11 hours,phone_talk_time,11 hours,phone talk time,11.0,h
spec_phone_standby_time_with_data_250hours,phone standby time (with data): 250 hours,phone_standby_time_with_data,250 hours,phone standby time (with data),250.0,h
spec_package_dimensions_8x5x3inches,package dimensions: 8 x 5 x 3 inches,package_dimensions,8 x 5 x 3 inches,package dimensions,,
spec_best_sellers_rank_amazonrenewed114climatepledgefriendlyelectronics680,"best sellers rank: {'amazon renewed': 114, 'climate pledge friendly: electronics': 680}",best_sellers_rank,"{'amazon renewed': 114, 'climate pledge friendly: electronics': 680}",best sellers rank,,
spec_memory_storage_capacity_512gb,memory storage capacity: 512 gb,memory_storage_capacity,512 gb,memory storage capacity,512.0,gb
spec_connector_type_lightning,connector type: lightning,connector_type,lightning,connector type,,
spec_wireless_communication_technologies_cellularwifi,"wireless communication technologies: cellular, wi-fi",wireless_communication_technologies,"cellular, wi-fi",wireless communication technologies,,
spec_sim_card_slot_count_dualsim,sim card slot count: dual sim,sim_card_slot_count,dual sim,sim card slot count,,
spec_wireless_communication_technologies_cellularnfc,"wireless communication technologies: cellular, nfc",wireless_communication_technologies,"cellular, nfc",wireless communication technologies,,
spec_special_features_8000mahbattery128gbrom6gbramwaterproofdustproofandshockproof586hddisplaysupportnfcgooglepay,"special features: 8000mah battery, 128gb rom+6gb ram, waterproof, dustproof and shockproof, 5.86” hd+ display, support nfc-google pay",special_features,"8000mah battery, 128gb rom+6gb ram, waterproof, dustproof and shockproof, 5.86” hd+ display, support nfc-google pay",special features,,
spec_battery_power_rating_8000milliamperehourmah,battery power rating: 8000 milliampere hour (mah),battery_power_rating,8000 milliampere hour (mah),battery power rating,,
spec_package_dimensions_71x4x16inches,package dimensions: 7.1 x 4 x 1.6 inches,package_dimensions,7.1 x 4 x 1.6 inches,package dimensions,,
spec_os_android90,os: android 9.0,os,android 9.0,os,,
spec_package_dimensions_638x346x106inches,package dimensions: 6.38 x 3.46 x 1.06 inches,package_dimensions,6.38 x 3.46 x 1.06 inches,package dimensions,,
