id,label
store_alcatel,alcatel
store_blu,blu
store_samsung,samsung
store_motorola,motorola
store_amazon_renewed,amazon renewed
store_ulefone,ulefone
store_umidigi,umidigi
store_nuu,nuu
store_oukitel,oukitel
store_google,google
store_blackview,blackview
store_asus,asus
store_zte,zte
store_acogedor,acogedor
store_tracfone,tracfone
store_sudroid,sudroid
store_lg,lg
store_xiaomi,xiaomi
store_folosafenar,folosafenar
store_kxd,kxd
store_mirusi,mirusi
store_palm,palm
store_sony,sony
store_indigi,indigi
store_huawei,huawei
store_tosuny,tosuny
store_microsoft,microsoft
store_tcl,tcl
store_aspercreme,aspercreme
store_kyocera,kyocera
store_azfunn,azfunn
store_cubot,cubot
store_slideco,slide-co
store_total_by_verizon,total by verizon
store_cellallure,cellallure
store_newtion,newtion
store_sony_ericsson,sony ericsson
store_doogee,doogee
store_uleway,uleway
store_tianhoo,tianhoo
store_gigaset,gigaset
store_pantech,pantech
store_net10,net10
store_plum,plum
store_sidekick,sidekick
store_htc,htc
store_agm,agm
store_sprint,sprint
store_galaxy_buds,galaxy buds
store_pomya,pomya
store_firefly,firefly
store_ecandy,ecandy
store_oneplus,oneplus
store_iridium,iridium
store_idroid,idroid
store_generic,generic
store_xgody,xgody
store_easyfone,easyfone
store_lansxxy,lansxxy
store_audiovox,audiovox
store_sanyo,sanyo
store_ilight,ilight
store_phonemax,phonemax
store_dpofirs,dpofirs
store_pusokei,pusokei
store_lcydz,lcydz
store_yoidesu,yoidesu
store_servo,servo
store_exachat,exachat
store_ciglow,ciglow
store_lock_socket,lock socket
store_lavir,lavir
store_kta_mobile_communications,kta mobile communications
store_sanshreuni,sanshreuni
store_apple,apple
store_fujitsu,fujitsu
store_total_wireless,total wireless
store_vbestlife,vbestlife
store_atevense,atevense
store_tihebeyan,tihebeyan
store_iocean,iocean
store_samsung_electronics_store,samsung electronics store
store_realme,realme
store_hotwav,hotwav
store_sharp,sharp
store_ken_xin_da,ken xin da
store_black_shark,black shark
store_unknown,unknown
store_ge,ge
store_conquest,conquest
store_yuntab,yuntab
store_ps_mobile,ps mobile
store_yezz,yezz
store_yunseity,yunseity
store_straight_talk,straight talk
store_nono,no!no!
store_victony,victony
store_logic,logic
store_redmagic,redmagic
store_ushining,ushining
store_lenovo,lenovo
store_winntech,winn-tech
store_novatel,novatel
store_simple_mobile,simple mobile
store_a_m_a_z_o_n,a m a z o n
store_hewlett_packard,hewlett packard
store_hp,hp
store_aderroo,aderroo
store_xplora,xplora
store_binj,binj
store_newmind,newmind
store_egen,egen
store_poco_llc,"poco, llc"
store_l8star,l8star
store_virgin_mobile,virgin mobile
store_redmi,redmi
store_v_mobile,v mobile
store_setpot,setpot
store_diydeg,diydeg
store_yasashe,yasashe
store_republic_wireless,republic wireless
store_sonim,sonim
store_tuanzi,tuanzi
store_hilitand,hilitand
store_s_smooth,s smooth
store_zanco,zanco
store_dilwe,dilwe
store_siemens,siemens
store_kudoo,kudoo
store_artist_unknown,artist unknown
store_jiake,jiake
store_sanyo_rl2500,sanyo rl-2500
store_cat_phone,cat phone
store_honor,honor
store_rca,rca
store_ciciglow,ciciglow
store_kata,kata
store_uniwa,uniwa
store_nuu_mobile,nuu mobile
store_kidsconnect,kidsconnect
store_tmobile,t-mobile
store_attwireless,at&t-wireless
store_samsung_electronics,samsung electronics
store_vtech,vtech
store_zerone,zerone
store_aivmolikjafuam,aivmolik?jafuam
