product_id,title,category,rating
B00DPTU6ZC,LCD Display Touch Screen Digitizer Display Replacement for iPhone 8 4.7 Inch Full Assembly with Repair Tool Kits Black,Tools & Home Improvement,3.9
B0BZCR3B75,"KRKC Watch Bands Compatible with Apple Watch 38mm 40mm 41mm 42mm 44mm 45mm, Upgrade Stainless Steel Watch Bangle Slim Strap Replacement for iWatch Series 8 7 6 5 4 3 2 1 SE for Women",AMAZON FASHION,4.6
B0B7NZGX14,"Bling Charm Band Compatible with Apple Watch 38/40/41/42/44/45mm, Star Key Lock Interchangeable Charms Dressy Metal Bracelet Bling Strap For Series 7 SE 6 5 4 3 2 1",AMAZON FASHION,4.2
B00RIHOZHM,Mgaolo DZ09 Smart Watch (White),All Electronics,4.2
B0BRN4R3C3,"MioHHR Slim Metal Bands Compatible with Apple Watch Band Series 8/7(45mm 41mm),Series SE 6/5/4(40mm 44mm),Series 3/2 /1(38mm 42mm), Thin Stainless Steel Chain Strap for Women iWatch Band",AMAZON FASHION,4.5
B075V1K9V6,VOYEE USB 3.1 Type-C to HDTV HDMI Adapter 4K/USB3.0/Type C Convertor Cable Adapter for New Macbook Chromebook USB-C Devices to HDTV,All Electronics,3.0
B07S8GTWQG,"i-Blason Cosmo Full-Body Bumper Protective Case for Galaxy Note 9 2018 Release, Purple",Cell Phones & Accessories,4.6
B07NSDPTCN,"OLEBR Charging Stand Aluminum 4 in 1 Compatible for iWatch Series 5/4/3/2/1, AirPods and iPhone 11/ iPhone 11 Pro/iPhone 11 Pro Max/Xs/X Max/XR/X/8/8Plus/7/7 Plus /6S /6S Plus/iPad -Space Grey OB04",Cell Phones & Accessories,3.9
B07DNYDD31,"BENTOBEN Phone Case for LG G6, Slim 2 in 1 Hybrid Shockproof Cases Luxury Glitter Bling Hard Cell Phone Case Sparkly Shiny Faux Leather Phone Cases Cover with Kickstand for Girls, Women - Purple",Cell Phones & Accessories,4.2
B0BNSPQ7BR,YERELO Premium Leather Strap Compatible iWatch Band 38mm 40mm 41mm/42mm 44mm 45mm for iWatch Series8/7/6/5/4/3/2/1/SE More Suitable for Men,AMAZON FASHION,4.3
B01D4J3DHU,Sports Armband,Cell Phones & Accessories,3.2
B081GVDR9Z,"iMangoo Pencil Nib & Pencil Adapter Compatible with iPad Pro, Pencil Replacement Tip for Pencil 2nd 1st Pen iPencil Adapter Female to Female Connector 2 Pack iPencil Accessories",All Electronics,4.3
B07P56LBTM,"Google Pixel 3a XL Screen Protector, TopACE Google Pixel 3a XL Tempered Glass 9H Hardness [Case Friendly][Anti-Scratch][Bubble Free] with Lifetime Replacement Warranty (Black)",Cell Phones & Accessories,3.5
B09JB7VJ3W,"Wireless Charging Station,3 in 1 Fast Charging Station for Multiple Devices Apple Wireless Charger Stand for iPhone 13/12/11 Pro Max/X/Xs Max/8/8 Plus, AirPods iWatch Series and Samsung Phones",All Electronics,4.2
B010H8D6GY,LMS Guitar Keyboard Sidekick Universal Smartphone Mount Support Phone Holder,Musical Instruments,4.0
B01M3UARGR,[3-PACK]-Mr.Shield Designed For HTC Bolt [Tempered Glass] Screen Protector with Lifetime Replacement,Cell Phones & Accessories,4.2
B07XLDJMMJ,"Avalri Compatible for Google Pixel 4 XL Case, Minimalistic Ultra Thin Hard Case PC Material Slim Protection Cover for Google Pixel 4 XL (Gravel Black)",All Electronics,3.7
B00T8VXYAU,Smartphone Flexible Tripod iKross Compact Tripod Stand Mount Holder with Adapters,Camera & Photo,4.2
B07P9QCX4L,"AVIDET Google Pixel 3a XL Screen Protector, 9H Hardness Tempered Glass [Anti-Scratch][Bubble Free] 0.3mm Ultra Slim Compatible for Google Pixel 3a XL (2 Pack)",Cell Phones & Accessories,3.8
B09BZ3YBSJ,Galaxy S20 Ultra Screen Protector【2+1 Pack】 Camera Lens Protector [ 3D Glass ] 9H Hardness Tempered Glass Screen Protector Compatible Fingerprint Easy Installation for Samsung Galaxy S20 Ultra 5G,Cell Phones & Accessories,3.0
B07VCJHS76,"[4 Pack] OMOTON Google Pixel 4 XL Screen Protector, Tempered Glass Screen Protector for Google Pixel 4XL 2019 Released with/Alignment Frame/Scratch Resistant/Bubble Free",Cell Phones & Accessories,4.6
B07PN6KVVM,BEZALEL Altair 10W Fast Wireless Charging Tilt Stand Charger Compatible for iPhone 11/11 Pro/11 Pro Max/XS/XS Max/XR/X/8/8 Plus Galaxy S20/S10/S9 Note 10/9/8 Sony LG Pixel 4/4 XL (Full-Body Aluminum),All Electronics,3.6
B08JYP87KR,"DAIKA Screen Protector Case Compatible with Fitbit Sense/Versa 3, 2-Pack Soft TPU Plated Bumper Case Full Protective Cover Shell Guard for Sense Advanced Smartwatch Scratch Resistant",Cell Phones & Accessories,4.3
B0BXPF1YF4,"Charging Blocks for iPhone, Charger Box Sicodo 3Pack Plug in Phone Charger One Port USB Power Adapter Cell Phone Brick Charging Cube for iPhone 14 13 12 SE 11 X,Samsung Galaxy S22 A13 5G S21 FE 21 S20",Cell Phones & Accessories,4.5
B09DCKFTRY,"Penoval Stylus for Surface Pro, MPEN4.0, Palm Rejection, Tail Eraser. Compatible with Microsoft Surface Pro 3/4/5/6/7 Go Go2 Go3, Surface Book/Laptop/Studio/Surface Duo 2 and Windows Stylus Laptop",All Electronics,4.2
B09PK6THTL,"Cell Phone Tripod Stand,PHOSNOVA 55"" Lightweight 360° Panorama Travel Camera Tripod,Portable Extendable iPhone Stand for Video Recording with Remote Shutter",Camera & Photo,4.6
B077TNLM76,"4Pcs Phone Screen Repair Tool Adjustable Screen Fastening Clamp Screen Clip Fixture Tools Compatible for iPhone, iPad, Computer, Laptops, Tablets, LCD Screen Repair",Camera & Photo,4.6
B0C7R5DRLT,"HiBoost Cell Phone Signal Booster for Truck | High Power Omni-Directional Adjustable Antenna| 4G& 5G LTE for All Carriers-Verizon,T-Mobile,AT&T | Pickup SUV OTR Signal Booster FCC Approved",All Electronics,4.0
B0BHP77KCQ,"SHENMZ New Replacement Battery for iPhone 8 Plus, 4600mAh 2023 New (Upgraded) Replacement Battery for iPhone 8 Plus Model A1864, A1897, A1898 with Repair Tool Kits",All Electronics,5.0
B0B6PHG7GF,"Orzero (3 Sets 6 Packs) Compatible for Samsung Galaxy Z Fold 4 5G, 3 Pack TPU Front Screen Protector and 3 Pack Inside Screen Protector (Not Glass), HD Bubble-Free Anti-Scratch (Lifetime Replacement)",Cell Phones & Accessories,3.8
B0B73WN3JG,Stretchy Braided Solo Loop Band Compatible with Apple Watch Bands 38mm 40mm 41mm 42mm 44mm 45mm 49mm for Men Women Adjustable Elastic Soft Strap Sport Wristbands for iWatch Series 8 7 6 5 4 3 2 1 SE Ultra,AMAZON FASHION,4.4
B09JBRGTHH,"Echoose 2-Pack Screen Protector [EZ Zipper Applied]designed for iPhone 13/iPhone 13 Pro(6.1inch),earpiece anti dust 8x Stronger Shatterproof Full Coverage HD Tempered Glass No Bubble and Case Friendly",Cell Phones & Accessories,4.3
B0BTPM65LJ,"Suoman 4-Pack for Apple Watch Ultra 49mm Screen Protector, HD Glass Screen Protector Hardness Ultra-thin for iWatch Ultra 49mm Screen Protector Tempered Glass [Perfectly Fit]",Cell Phones & Accessories,4.0
B0BTY51JR8,"20W USB C Charger,Huntkey USB-C Power Adapter PD Type c Fast Charger Block USBC Wall Charger for iPhone 14/13/12/11/X/XR Series,Samsung Galaxy S22/S20,Google Pixel Series,iPad Pro and More",All Electronics,4.7
B0BVM92NJF,"ULUQ Glass Screen Protector for iPhone 12 Pro Max, HD Tempered Glass Film, 9H Hardness Anti Scratch, 6.7inch, 3 Pack",Cell Phones & Accessories,4.5
B07KGLTWYL,"Supershieldz (2 Pack) Designed for Palm Phone Tempered Glass Screen Protector, Anti Scratch, Bubble Free",Cell Phones & Accessories,4.3
B0BQQPZ6JR,"ShanWan Mobile Game Controller for iPhone with Phone CASE Support, Bluetooth Wireless Gamepad - PS Remote Play, Xbox Cloud, Steam Link, GeForce Now, MFi Apple Arcade Games-Long Battery Life",Video Games,4.1
B07G74YJN6,"Basesailor Galaxy S7 Edge Tempered Glass Screen Protector(2 Pack), Full Coverage, Anti-Scratch, HD Clear 3D Curved Film for Samsung Galaxy S7 Edge (Not For Galaxy S7) (Black)",Cell Phones & Accessories,3.8
B07RF4QQ81,"Mobile Game Controller with 4 Triggers Compatiple for PUβG/COD Mobile Fotnite [6 Finger Operation], L1R1 L2R2 Grip Gamepad Joystick Remote Shoot Aim Key for iOS Android Phone",Computers,4.1
B07MM97MML,"Moshi Symbus Q USB C Hub, 6-in-1 Docking Station with 15W Wireless Charger for iPhone 12 Series, AirPods Pro/Galaxy/Pixel, HDMI 4K HDR, USB C PD Fast-Charging 60W, Dual USB-A, Gigabit Ethernet Port",Computers,4.3
B0BRXMPK2L,"Magnetic Wireless Charger, Y-Team 4 in 1 Mag-Safe Wireless Charging Station, 20W Fast Wireless Charger Stand with Detachable 5000mAh Portable Charger for iPhone 14 13 12 Series, iWatch and AirPods",All Electronics,4.0
B091GY24VQ,"USB C Charger, 75W 6-Port USB Charging Station with Dual 65W PD 3.0 USB C Ports, Multiple USB Charger Station Hub for MacBook Pro/Max iPhone 13/13 Pro Android Smartphone Tablet Smart Watch AirPods",All Electronics,4.7
B09HT38X7C,"FutureCharger MagSafe Car Mount Charger, Magnetic Wireless Car Charger Mount, MagSafe Car Charger, Air Vent Phone Holder Mount with Wireless Charging, Compatible with iPhone 14/13/12 Series-Black+Grey",All Electronics,4.0
B09QKR6QQW,"4 in 1 Wireless Charging Station for iPhone Airpods Apple Watch, 30W Fast Wireless Charging Multiple Devices with Digital Clock & RGB Light for iPhone 13/12/11/8/pro/xs/xr/x, Samsung Galaxy (White)",All Electronics,2.6
B0BHWLD8C8,"JR.DM Scarf Watch Band | Cute Apple Watch Band | Compatible for iWatch SE/6/5/4/3/2/1 42mm 44mm 45mm, Casual Style Brown Black White Color for Women Girls, 4 Packs from （Roman Holiday）",AMAZON FASHION,4.0
B0BF4PGBKC,"USB C Wall Charger, Fast Charging 35W USB C Charger Dual Port USB-C Power Adapter Wall Charger PD 3.0 35W Foldable Fast Charger Block Cell Phone Wall Chargers",All Electronics,4.4
B08GLLF8Y3,"VANMASS 【Newest Shockproof 4.0】 Dashboard Phone Holder for Car【360° Widest View】 9in Flexible Long Arm, Universal Handsfree Auto Windshield Air Vent Cell Phone Mount for Car, Polished Black",Cell Phones & Accessories,4.1
B0C4DLQPD4,"Lamicall Car Phone Holder Mount for MagSafe Magnetic Phone Holder for Car, Hands Free iPhone Car Holder Mount for iPhone 14 13 12 Pro Plus Max Mini MagSafe Case, Carbon Fiber",Cell Phones & Accessories,4.4
B092KYRTHY,Spigen Thin Fit Designed for Galaxy S21 FE Case (2021) - Black,All Electronics,4.6
B0BGLV9J3P,"Simtect Designed for iPhone 14 Pro Max Case, [Showcase Personality] [10 FT Military Drop Protection] Slim Fit Yet Protective Shockproof Bumper with Airbag Case Cover 6.7 Inch- Fluorescent Pink",All Electronics,4.0
B088688B33,"USB Charging Station,105W 8-Port Desktop Charger Organizer with 45W Power Delivery Port for USB-C Laptops, MacBook Pro/Air, iPad Pro, S10, and 7 USB Ports for iPhone 11/Pro/Max, S9/S8 and More¡­",All Electronics,4.4
B09BDWGXWG,"Philips Accessories Philips 27W USB-C Car Charger, 42W, for iPhone 12/11/Pro/Max/XS/XR/X/8, iPad Pro/Air/Mini, MacBook Air, Samsung Galaxy S21/S10/S9/Plus",All Electronics,4.4
